Systolic Pressure, Dyastolic Pressure,Pulse, note
0,0,0,mauro measure alone
time,pressure(mmHg)
0.0,-15.44723350693252
0.01,-15.44723350693252
0.02,-15.040299000096581
0.03,-15.854168013768458
0.04,-16.668037027440334
0.05,-15.44723350693252
0.06,-15.854168013768458
0.07,-15.854168013768458
0.08,-16.668037027440334
0.09,-15.44723350693252
0.1,-15.854168013768458
0.11,-16.261102520604396
0.12,-15.854168013768458
0.13,-15.854168013768458
0.14,-15.44723350693252
0.15,-15.44723350693252
0.16,-15.44723350693252
0.17,-15.44723350693252
0.18,-15.44723350693252
0.19,-16.261102520604396
0.2,-15.44723350693252
0.21,-16.668037027440334
0.22,-16.668037027440334
0.23,-16.668037027440334
0.24,-16.668037027440334
0.25,-16.668037027440334
0.26,-16.668037027440334
0.27,-16.668037027440334
0.28,-16.668037027440334
0.29,-16.668037027440334
0.3,-16.668037027440334
0.31,-16.668037027440334
0.32,-16.668037027440334
0.33,-16.668037027440334
0.34,-16.668037027440334
0.35,-16.668037027440334
0.36,-16.668037027440334
0.37,-16.668037027440334
0.38,-16.668037027440334
0.39,-16.668037027440334
0.4,-16.668037027440334
0.41,-16.668037027440334
0.42,-16.668037027440334
0.43,-16.668037027440334
0.44,-16.668037027440334
0.45,-16.668037027440334
0.46,-16.668037027440334
0.47,-16.668037027440334
0.48,-16.668037027440334
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-16.668037027440334
0.52,-16.668037027440334
0.53,-16.668037027440334
0.54,-16.668037027440334
0.55,-16.668037027440334
0.56,-16.668037027440334
0.57,-16.668037027440334
0.58,-16.668037027440334
0.59,-16.668037027440334
0.6,-16.668037027440334
0.61,-16.668037027440334
0.62,-16.668037027440334
0.63,-16.668037027440334
0.64,-16.668037027440334
0.65,-16.668037027440334
0.66,-16.668037027440334
0.67,-16.668037027440334
0.68,-16.668037027440334
0.69,-16.668037027440334
0.7,-16.668037027440334
0.71,-16.668037027440334
0.72,-16.668037027440334
0.73,-16.668037027440334
0.74,-16.668037027440334
0.75,-16.668037027440334
0.76,-16.668037027440334
0.77,-16.668037027440334
0.78,-16.668037027440334
0.79,-16.668037027440334
0.8,-16.668037027440334
0.81,-16.668037027440334
0.82,-16.668037027440334
0.83,-16.668037027440334
0.84,-16.668037027440334
0.85,-2.425329676265507
0.86,-9.343215904393459
0.87,-3.6461331967733197
0.88,-14.226429986424709
0.89,-16.261102520604396
0.9,-16.668037027440334
0.91,-16.261102520604396
0.92,-16.261102520604396
0.93,-16.668037027440334
0.94,-16.261102520604396
0.95,-16.668037027440334
0.96,-16.668037027440334
0.97,-15.44723350693252
0.98,-16.668037027440334
0.99,-11.784822945409083
1.0,-15.44723350693252
1.01,-16.261102520604396
1.02,-16.261102520604396
1.03,-16.668037027440334
1.04,-15.854168013768458
1.05,-15.040299000096581
1.06,-16.261102520604396
1.07,-15.854168013768458
1.08,-13.412560972752834
1.09,-15.44723350693252
1.1,-15.44723350693252
1.11,-15.44723350693252
1.12,-15.44723350693252
1.13,-15.44723350693252
1.14,-15.44723350693252
1.15,-15.44723350693252
1.16,-15.44723350693252
1.17,-15.44723350693252
1.18,-15.44723350693252
1.19,-15.44723350693252
1.2,-15.44723350693252
1.21,-15.44723350693252
1.22,-15.44723350693252
1.23,-15.44723350693252
1.24,-15.44723350693252
1.25,-15.44723350693252
1.26,-15.44723350693252
1.27,-15.44723350693252
1.28,-15.44723350693252
1.29,-15.44723350693252
1.3,-15.44723350693252
1.31,-15.44723350693252
1.32,-15.44723350693252
1.33,-15.44723350693252
1.34,-15.44723350693252
1.35,-15.44723350693252
1.36,-15.44723350693252
1.37,-15.44723350693252
1.38,-15.44723350693252
1.39,-15.44723350693252
1.4,-15.44723350693252
1.41,-15.44723350693252
1.42,-15.44723350693252
1.43,-15.44723350693252
1.44,-15.44723350693252
1.45,-15.44723350693252
1.46,-15.44723350693252
1.47,-15.44723350693252
1.48,-15.44723350693252
1.49,-15.44723350693252
1.5,-15.44723350693252
1.51,-15.44723350693252
1.52,-15.44723350693252
1.53,-15.44723350693252
1.54,-15.44723350693252
1.55,-15.44723350693252
1.56,-15.44723350693252
1.57,-15.44723350693252
1.58,-15.44723350693252
1.59,-15.44723350693252
