Systolic Pressure, Dyastolic Pressure,Pulse, note
0,0,0,mauro bad measure foollowed bby 2 measure
time,pressure(mmHg)
0.0,146.51270331843452
0.01,146.51270331843452
0.02,146.1057688115986
0.03,146.51270331843452
0.04,147.3265723321064
0.05,148.5473758526142
0.06,149.36124486628609
0.07,150.17511387995796
0.08,150.98898289362984
0.09,152.20978641413762
0.1,153.43058993464547
0.11,154.24445894831734
0.12,155.46526246882513
0.13,156.27913148249704
0.14,156.68606598933295
0.15,157.09300049616888
0.16,157.9068695098408
0.17,158.3138040166767
0.18,158.3138040166767
0.19,158.3138040166767
0.2,158.3138040166767
0.21,157.49993500300485
0.22,157.9068695098408
0.23,157.9068695098408
0.24,157.9068695098408
0.25,157.49993500300485
0.26,157.49993500300485
0.27,157.49993500300485
0.28,157.09300049616888
0.29,156.68606598933295
0.3,157.49993500300485
0.31,156.68606598933295
0.32,157.09300049616888
0.33,156.68606598933295
0.34,156.68606598933295
0.35,156.27913148249704
0.36,156.27913148249704
0.37,156.27913148249704
0.38,156.27913148249704
0.39,156.27913148249704
0.4,156.27913148249704
0.41,156.27913148249704
0.42,155.8721969756611
0.43,155.8721969756611
0.44,155.8721969756611
0.45,155.8721969756611
0.46,155.8721969756611
0.47,155.8721969756611
0.48,155.8721969756611
0.49,155.8721969756611
0.5,155.8721969756611
0.51,156.27913148249704
0.52,155.8721969756611
0.53,156.68606598933295
0.54,155.8721969756611
0.55,155.8721969756611
0.56,155.8721969756611
0.57,155.8721969756611
0.58,155.8721969756611
0.59,155.46526246882513
0.6,155.8721969756611
0.61,155.46526246882513
0.62,155.8721969756611
0.63,155.46526246882513
0.64,155.46526246882513
0.65,155.46526246882513
0.66,155.0583279619892
0.67,155.0583279619892
0.68,155.0583279619892
0.69,155.0583279619892
0.7,155.0583279619892
0.71,155.0583279619892
0.72,155.0583279619892
0.73,155.0583279619892
0.74,155.0583279619892
0.75,155.0583279619892
0.76,154.65139345515328
0.77,154.65139345515328
0.78,154.65139345515328
