Systolic Pressure, Dyastolic Pressure,Pulse, note
0,0,0,bad
time,pressure(mmHg)
0.0,-16.668037027440334
0.01,-15.854168013768458
0.02,-15.854168013768458
0.03,-15.854168013768458
0.04,-15.854168013768458
0.05,-15.854168013768458
0.06,-15.854168013768458
0.07,-15.854168013768458
0.08,-15.854168013768458
0.09,-15.854168013768458
0.1,-15.854168013768458
0.11,-15.854168013768458
0.12,-15.854168013768458
0.13,-15.854168013768458
0.14,-15.854168013768458
0.15,-15.854168013768458
0.16,-15.854168013768458
0.17,-15.854168013768458
0.18,-15.854168013768458
0.19,-15.854168013768458
0.2,-15.854168013768458
0.21,-15.854168013768458
0.22,-15.854168013768458
0.23,-15.854168013768458
0.24,-15.854168013768458
0.25,-15.854168013768458
0.26,-15.854168013768458
0.27,-15.854168013768458
0.28,-15.854168013768458
0.29,-15.854168013768458
0.3,-15.854168013768458
0.31,-15.854168013768458
0.32,-15.854168013768458
0.33,-15.854168013768458
0.34,-15.854168013768458
0.35,-15.854168013768458
0.36,-15.854168013768458
0.37,-15.854168013768458
0.38,-15.854168013768458
0.39,-15.854168013768458
0.4,-15.854168013768458
0.41,-15.854168013768458
0.42,-15.854168013768458
0.43,-15.854168013768458
0.44,-15.854168013768458
0.45,-15.854168013768458
0.46,-15.854168013768458
0.47,-15.854168013768458
0.48,-15.854168013768458
0.49,-15.854168013768458
0.5,-15.854168013768458
0.51,-3.2391986899373824
0.52,-12.191757452245021
0.53,-15.854168013768458
0.54,-15.854168013768458
0.55,-15.854168013768458
0.56,-15.854168013768458
0.57,-15.854168013768458
0.58,-15.854168013768458
0.59,-15.854168013768458
0.6,-15.854168013768458
0.61,-15.854168013768458
0.62,-15.854168013768458
0.63,-15.854168013768458
0.64,-15.854168013768458
0.65,-15.854168013768458
0.66,-15.854168013768458
0.67,-15.854168013768458
0.68,-15.854168013768458
0.69,-15.854168013768458
0.7,-15.854168013768458
0.71,-15.854168013768458
0.72,-15.854168013768458
0.73,-15.854168013768458
0.74,-15.854168013768458
0.75,-15.854168013768458
0.76,-15.854168013768458
0.77,-15.854168013768458
0.78,-15.854168013768458
0.79,-15.854168013768458
0.8,-15.854168013768458
0.81,-15.854168013768458
0.82,-15.854168013768458
0.83,-15.854168013768458
0.84,-15.854168013768458
0.85,-15.854168013768458
0.86,-15.854168013768458
0.87,-15.854168013768458
0.88,-15.854168013768458
0.89,-15.854168013768458
0.9,-15.854168013768458
0.91,-15.854168013768458
0.92,-15.854168013768458
0.93,-15.854168013768458
0.94,-15.854168013768458
0.95,-15.854168013768458
0.96,-15.854168013768458
0.97,-15.854168013768458
0.98,-15.854168013768458
0.99,-15.854168013768458
1.0,-15.854168013768458
1.01,-15.854168013768458
1.02,-15.854168013768458
1.03,-15.854168013768458
1.04,-15.854168013768458
1.05,-15.854168013768458
1.06,-15.854168013768458
1.07,-15.854168013768458
1.08,-15.854168013768458
1.09,-15.854168013768458
1.1,-15.854168013768458
1.11,-15.854168013768458
1.12,-15.854168013768458
1.13,-15.854168013768458
1.14,-15.854168013768458
1.15,-15.854168013768458
1.16,-15.854168013768458
1.17,-15.854168013768458
1.18,-15.854168013768458
1.19,-15.854168013768458
1.2,-15.854168013768458
1.21,-15.854168013768458
1.22,-15.854168013768458
1.23,-15.854168013768458
1.24,-15.854168013768458
1.25,-15.854168013768458
1.26,-15.854168013768458
1.27,-15.854168013768458
1.28,-15.854168013768458
1.29,-15.854168013768458
1.3,-15.854168013768458
1.31,-15.854168013768458
1.32,-15.854168013768458
1.33,-15.854168013768458
1.34,-15.854168013768458
1.35,-15.854168013768458
1.36,-15.854168013768458
1.37,-15.854168013768458
1.38,-15.854168013768458
1.39,-15.854168013768458
1.4,-15.854168013768458
1.41,-15.854168013768458
1.42,-15.854168013768458
1.43,-15.854168013768458
1.44,-15.854168013768458
1.45,-15.854168013768458
1.46,-15.854168013768458
1.47,-15.854168013768458
1.48,-15.854168013768458
1.49,-15.854168013768458
1.5,-15.854168013768458
1.51,-15.854168013768458
1.52,-15.854168013768458
1.53,-15.854168013768458
1.54,-15.854168013768458
1.55,-15.854168013768458
1.56,-15.854168013768458
1.57,-15.854168013768458
1.58,-15.854168013768458
1.59,-15.854168013768458
1.6,-15.854168013768458
1.61,-15.854168013768458
1.62,-15.854168013768458
1.63,-15.854168013768458
1.64,-15.854168013768458
1.65,-15.854168013768458
1.66,-15.854168013768458
1.67,-15.854168013768458
1.68,-15.854168013768458
1.69,-15.854168013768458
1.7,-15.854168013768458
1.71,-15.854168013768458
1.72,-15.854168013768458
1.73,-15.854168013768458
1.74,-15.854168013768458
1.75,-15.854168013768458
1.76,-15.854168013768458
1.77,-15.854168013768458
1.78,-15.854168013768458
1.79,-15.854168013768458
1.8,-15.854168013768458
1.81,-15.854168013768458
1.82,-15.854168013768458
1.83,-15.854168013768458
1.84,-15.854168013768458
1.85,-15.854168013768458
1.86,-15.854168013768458
1.87,-15.854168013768458
1.88,-15.854168013768458
1.89,-15.854168013768458
1.9,-15.854168013768458
1.91,-15.854168013768458
1.92,-15.854168013768458
1.93,-15.854168013768458
1.94,-15.854168013768458
1.95,-15.854168013768458
1.96,-15.854168013768458
1.97,-15.854168013768458
1.98,-15.854168013768458
1.99,-15.854168013768458
2.0,-15.854168013768458
2.01,-15.854168013768458
2.02,-15.854168013768458
2.03,-15.854168013768458
2.04,-15.854168013768458
2.05,-15.854168013768458
2.06,-15.854168013768458
2.07,-15.854168013768458
2.08,2.0509498989298054
2.09,0.830146378421993
2.1,0.830146378421993
2.11,1.2370808852579307
2.12,1.2370808852579307
2.13,0.830146378421993
2.14,1.2370808852579307
2.15,0.830146378421993
2.16,1.2370808852579307
2.17,0.830146378421993
2.18,0.830146378421993
2.19,1.2370808852579307
2.2,0.830146378421993
2.21,0.830146378421993
2.22,0.830146378421993
2.23,0.830146378421993
2.24,0.830146378421993
2.25,1.2370808852579307
2.26,0.830146378421993
2.27,1.2370808852579307
2.28,0.830146378421993
2.29,1.2370808852579307
2.3,1.2370808852579307
2.31,0.830146378421993
2.32,1.2370808852579307
2.33,1.2370808852579307
2.34,0.830146378421993
2.35,0.830146378421993
2.36,0.830146378421993
2.37,1.2370808852579307
2.38,1.2370808852579307
2.39,0.830146378421993
2.4,0.830146378421993
2.41,2.4578844057657436
2.42,0.830146378421993
2.43,1.2370808852579307
2.44,1.2370808852579307
2.45,1.2370808852579307
2.46,0.830146378421993
2.47,1.2370808852579307
2.48,0.830146378421993
2.49,1.2370808852579307
2.5,1.2370808852579307
2.51,1.2370808852579307
2.52,1.2370808852579307
2.53,1.2370808852579307
2.54,1.2370808852579307
2.55,0.830146378421993
2.56,1.2370808852579307
2.57,1.2370808852579307
2.58,0.830146378421993
2.59,1.2370808852579307
2.6,0.830146378421993
2.61,0.830146378421993
2.62,1.2370808852579307
2.63,1.2370808852579307
2.64,1.2370808852579307
2.65,-14.633364493260647
2.66,0.830146378421993
2.67,0.830146378421993
2.68,0.830146378421993
2.69,0.830146378421993
2.7,0.830146378421993
2.71,0.830146378421993
2.72,0.830146378421993
2.73,0.830146378421993
2.74,0.830146378421993
2.75,0.830146378421993
2.76,0.830146378421993
