Systolic Pressure, Dyastolic Pressure,Pulse, note
0,0,113,good measure. still bbbadv bp
time,pressure(mmHg)
0.0,-15.44723350693252
0.01,-16.668037027440334
0.02,-16.261102520604396
0.03,-16.668037027440334
0.04,-16.668037027440334
0.05,-16.668037027440334
0.06,-16.668037027440334
0.07,-16.668037027440334
0.08,-16.668037027440334
0.09,-16.668037027440334
0.1,-16.668037027440334
0.11,-16.668037027440334
0.12,-16.668037027440334
0.13,-16.668037027440334
0.14,-16.668037027440334
0.15,-16.668037027440334
0.16,-16.668037027440334
0.17,-16.668037027440334
0.18,-16.668037027440334
0.19,-16.668037027440334
0.2,-16.668037027440334
0.21,-16.668037027440334
0.22,-16.668037027440334
0.23,-16.668037027440334
0.24,-16.668037027440334
0.25,-16.668037027440334
0.26,-16.668037027440334
0.27,-16.668037027440334
0.28,-16.668037027440334
0.29,-16.668037027440334
0.3,-16.668037027440334
0.31,-16.668037027440334
0.32,-16.668037027440334
0.33,-16.668037027440334
0.34,-16.668037027440334
0.35,-7.30854337021377
0.36,-15.040299000096581
0.37,-15.854168013768458
0.38,-15.040299000096581
0.39,-16.668037027440334
0.4,-16.668037027440334
0.41,-15.040299000096581
0.42,-16.668037027440334
0.43,-16.261102520604396
0.44,-15.44723350693252
0.45,-16.668037027440334
0.46,-16.668037027440334
0.47,-16.668037027440334
0.48,-16.668037027440334
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-16.668037027440334
0.52,-16.668037027440334
0.53,-16.668037027440334
0.54,-16.668037027440334
0.55,-16.668037027440334
0.56,-16.668037027440334
0.57,-16.668037027440334
0.58,-16.668037027440334
0.59,-16.668037027440334
0.6,-16.668037027440334
0.61,-16.668037027440334
0.62,-16.668037027440334
0.63,-16.668037027440334
0.64,-16.668037027440334
0.65,-16.668037027440334
0.66,-16.668037027440334
0.67,-16.668037027440334
0.68,-16.668037027440334
0.69,-16.668037027440334
0.7,-16.668037027440334
0.71,-16.668037027440334
0.72,-16.668037027440334
0.73,-16.668037027440334
0.74,-16.668037027440334
0.75,-16.668037027440334
0.76,-16.668037027440334
0.77,-16.668037027440334
0.78,-16.668037027440334
0.79,-16.668037027440334
0.8,-16.668037027440334
0.81,-16.668037027440334
0.82,-16.668037027440334
0.83,-16.668037027440334
0.84,-16.668037027440334
0.85,-16.668037027440334
0.86,-16.668037027440334
0.87,-16.668037027440334
0.88,-16.668037027440334
0.89,-16.668037027440334
0.9,-16.668037027440334
0.91,-16.668037027440334
0.92,-16.668037027440334
0.93,-16.668037027440334
0.94,-16.668037027440334
0.95,-16.668037027440334
0.96,-16.668037027440334
0.97,-16.668037027440334
0.98,-16.668037027440334
0.99,-16.668037027440334
1.0,-16.668037027440334
1.01,-16.668037027440334
1.02,-16.668037027440334
1.03,-16.668037027440334
1.04,-16.668037027440334
1.05,-16.668037027440334
1.06,-16.668037027440334
1.07,-16.668037027440334
1.08,-16.668037027440334
1.09,-16.668037027440334
1.1,-16.668037027440334
1.11,-16.668037027440334
1.12,-16.668037027440334
1.13,-16.668037027440334
1.14,-16.668037027440334
1.15,-16.668037027440334
1.16,-16.668037027440334
1.17,-16.668037027440334
1.18,-16.668037027440334
1.19,-16.668037027440334
1.2,-16.668037027440334
1.21,-16.668037027440334
1.22,-16.668037027440334
1.23,-16.668037027440334
1.24,-16.668037027440334
1.25,-16.668037027440334
1.26,-16.668037027440334
1.27,-16.668037027440334
1.28,-16.668037027440334
1.29,-16.668037027440334
1.3,-16.668037027440334
1.31,-16.668037027440334
1.32,-16.668037027440334
1.33,-16.668037027440334
1.34,-16.668037027440334
1.35,-16.668037027440334
1.36,-16.668037027440334
1.37,-16.668037027440334
1.38,-16.668037027440334
1.39,-16.668037027440334
1.4,-16.668037027440334
1.41,-16.668037027440334
1.42,-16.668037027440334
1.43,-16.668037027440334
1.44,-16.668037027440334
1.45,-16.668037027440334
1.46,-16.668037027440334
1.47,-16.668037027440334
1.48,-16.668037027440334
1.49,-16.668037027440334
1.5,-16.668037027440334
1.51,-16.668037027440334
1.52,-16.668037027440334
1.53,-16.668037027440334
1.54,-16.668037027440334
1.55,-16.668037027440334
1.56,-16.668037027440334
1.57,-16.668037027440334
1.58,-16.668037027440334
1.59,-16.668037027440334
1.6,-16.668037027440334
1.61,-16.668037027440334
1.62,-16.668037027440334
1.63,-16.668037027440334
1.64,-16.668037027440334
1.65,-16.668037027440334
1.66,-16.668037027440334
1.67,-16.668037027440334
1.68,-16.668037027440334
1.69,-16.668037027440334
1.7,-16.668037027440334
1.71,-16.668037027440334
1.72,-16.668037027440334
1.73,-16.668037027440334
1.74,-16.668037027440334
1.75,-16.668037027440334
1.76,-16.668037027440334
1.77,-16.668037027440334
1.78,-16.668037027440334
1.79,-16.668037027440334
1.8,-16.668037027440334
1.81,-16.668037027440334
1.82,1.2370808852579307
1.83,1.2370808852579307
1.84,1.2370808852579307
1.85,1.644015392093868
1.86,1.2370808852579307
1.87,1.2370808852579307
1.88,1.2370808852579307
1.89,1.2370808852579307
1.9,1.2370808852579307
1.91,1.2370808852579307
1.92,1.644015392093868
1.93,1.2370808852579307
1.94,1.2370808852579307
1.95,1.2370808852579307
1.96,1.2370808852579307
1.97,2.0509498989298054
1.98,1.2370808852579307
1.99,1.2370808852579307
2.0,1.2370808852579307
2.01,1.2370808852579307
2.02,1.2370808852579307
2.03,1.644015392093868
2.04,1.2370808852579307
2.05,1.2370808852579307
2.06,1.2370808852579307
2.07,1.2370808852579307
2.08,1.2370808852579307
2.09,1.2370808852579307
2.1,1.2370808852579307
2.11,1.644015392093868
2.12,1.644015392093868
2.13,1.2370808852579307
2.14,1.2370808852579307
2.15,1.2370808852579307
2.16,1.2370808852579307
2.17,1.2370808852579307
2.18,1.2370808852579307
2.19,1.644015392093868
2.2,1.2370808852579307
2.21,1.2370808852579307
2.22,2.0509498989298054
2.23,1.2370808852579307
2.24,1.2370808852579307
2.25,1.2370808852579307
2.26,1.644015392093868
2.27,1.644015392093868
2.28,1.644015392093868
2.29,1.2370808852579307
2.3,1.644015392093868
2.31,1.644015392093868
2.32,1.2370808852579307
2.33,1.2370808852579307
2.34,1.2370808852579307
2.35,1.2370808852579307
2.36,1.644015392093868
2.37,1.2370808852579307
2.38,1.2370808852579307
2.39,1.644015392093868
2.4,1.2370808852579307
2.41,1.2370808852579307
2.42,1.2370808852579307
2.43,1.644015392093868
2.44,1.2370808852579307
2.45,1.2370808852579307
2.46,1.2370808852579307
2.47,1.644015392093868
2.48,1.2370808852579307
2.49,1.644015392093868
2.5,1.2370808852579307
2.51,1.2370808852579307
2.52,1.2370808852579307
2.53,1.2370808852579307
2.54,1.2370808852579307
2.55,1.2370808852579307
2.56,1.2370808852579307
2.57,1.2370808852579307
2.58,1.2370808852579307
2.59,1.2370808852579307
2.6,1.2370808852579307
2.61,1.2370808852579307
2.62,1.2370808852579307
2.63,1.2370808852579307
2.64,1.2370808852579307
2.65,1.2370808852579307
2.66,1.2370808852579307
2.67,1.2370808852579307
2.68,1.644015392093868
2.69,1.2370808852579307
2.7,1.2370808852579307
2.71,1.2370808852579307
2.72,1.644015392093868
2.73,1.2370808852579307
2.74,1.644015392093868
2.75,1.2370808852579307
2.76,1.644015392093868
2.77,1.2370808852579307
2.78,1.2370808852579307
2.79,1.2370808852579307
2.8,1.2370808852579307
2.81,1.2370808852579307
2.82,1.2370808852579307
2.83,1.2370808852579307
2.84,1.2370808852579307
2.85,1.2370808852579307
2.86,1.2370808852579307
2.87,1.2370808852579307
2.88,1.2370808852579307
2.89,1.2370808852579307
2.9,1.2370808852579307
2.91,1.644015392093868
2.92,1.2370808852579307
2.93,1.2370808852579307
2.94,1.2370808852579307
2.95,1.2370808852579307
2.96,1.2370808852579307
2.97,1.644015392093868
2.98,1.2370808852579307
2.99,1.644015392093868
3.0,1.2370808852579307
3.01,1.2370808852579307
3.02,-13.005626465916896
3.03,1.2370808852579307
3.04,1.644015392093868
3.05,1.2370808852579307
3.06,1.2370808852579307
3.07,1.644015392093868
3.08,1.2370808852579307
3.09,1.644015392093868
3.1,1.2370808852579307
3.11,1.2370808852579307
3.12,1.2370808852579307
3.13,1.2370808852579307
3.14,1.2370808852579307
3.15,1.2370808852579307
3.16,1.2370808852579307
3.17,1.2370808852579307
3.18,1.2370808852579307
3.19,1.2370808852579307
3.2,1.2370808852579307
3.21,1.644015392093868
3.22,1.2370808852579307
3.23,1.2370808852579307
3.24,1.2370808852579307
3.25,1.644015392093868
3.26,1.2370808852579307
3.27,1.2370808852579307
3.28,1.2370808852579307
3.29,1.644015392093868
3.3,1.2370808852579307
3.31,1.2370808852579307
3.32,1.2370808852579307
3.33,1.2370808852579307
3.34,1.2370808852579307
3.35,1.2370808852579307
3.36,1.2370808852579307
3.37,1.2370808852579307
3.38,1.2370808852579307
3.39,1.2370808852579307
3.4,1.2370808852579307
3.41,1.2370808852579307
3.42,1.2370808852579307
3.43,1.2370808852579307
3.44,1.2370808852579307
3.45,1.2370808852579307
3.46,1.2370808852579307
3.47,1.2370808852579307
3.48,1.2370808852579307
3.49,1.2370808852579307
3.5,1.2370808852579307
3.51,1.2370808852579307
3.52,1.2370808852579307
3.53,1.2370808852579307
3.54,1.2370808852579307
3.55,1.2370808852579307
3.56,1.2370808852579307
3.57,1.2370808852579307
3.58,1.2370808852579307
3.59,1.2370808852579307
3.6,1.2370808852579307
3.61,1.2370808852579307
3.62,1.2370808852579307
3.63,1.2370808852579307
3.64,1.2370808852579307
3.65,1.2370808852579307
3.66,1.644015392093868
3.67,1.2370808852579307
3.68,1.2370808852579307
3.69,1.2370808852579307
3.7,1.2370808852579307
3.71,1.644015392093868
3.72,1.2370808852579307
3.73,1.2370808852579307
3.74,1.2370808852579307
3.75,1.2370808852579307
3.76,1.2370808852579307
3.77,1.2370808852579307
3.78,1.2370808852579307
3.79,1.2370808852579307
3.8,1.2370808852579307
3.81,1.2370808852579307
3.82,19.54913408095811
3.83,19.54913408095811
3.84,1.2370808852579307
3.85,1.2370808852579307
3.86,1.2370808852579307
3.87,1.2370808852579307
3.88,1.2370808852579307
3.89,1.2370808852579307
3.9,1.2370808852579307
3.91,1.2370808852579307
3.92,1.2370808852579307
3.93,1.2370808852579307
3.94,1.644015392093868
3.95,1.2370808852579307
3.96,1.2370808852579307
3.97,1.2370808852579307
3.98,1.2370808852579307
3.99,1.2370808852579307
4.0,1.2370808852579307
4.01,1.2370808852579307
4.02,1.2370808852579307
4.03,1.2370808852579307
4.04,1.2370808852579307
4.05,1.2370808852579307
4.06,1.2370808852579307
4.07,1.2370808852579307
4.08,0.830146378421993
4.09,1.2370808852579307
4.1,1.2370808852579307
4.11,1.2370808852579307
4.12,1.2370808852579307
4.13,1.2370808852579307
4.14,1.2370808852579307
4.15,1.2370808852579307
4.16,1.2370808852579307
4.17,1.2370808852579307
4.18,1.2370808852579307
4.19,1.644015392093868
4.2,1.2370808852579307
4.21,1.2370808852579307
4.22,1.2370808852579307
4.23,1.2370808852579307
4.24,1.2370808852579307
4.25,1.2370808852579307
4.26,1.2370808852579307
4.27,1.2370808852579307
4.28,1.2370808852579307
4.29,1.2370808852579307
4.3,1.2370808852579307
4.31,1.2370808852579307
4.32,1.2370808852579307
4.33,1.2370808852579307
4.34,1.2370808852579307
4.35,1.2370808852579307
4.36,1.2370808852579307
4.37,1.2370808852579307
4.38,1.2370808852579307
