Systolic Pressure, Dyastolic Pressure,Pulse, note
0,0,137,diff10
time,pressure(mmHg)
0.0,-16.668037027440334
0.01,-16.668037027440334
0.02,-16.261102520604396
0.03,-16.261102520604396
0.04,-15.854168013768458
0.05,-16.261102520604396
0.06,-16.261102520604396
0.07,-16.261102520604396
0.08,-15.854168013768458
0.09,-16.668037027440334
0.1,-16.261102520604396
0.11,-16.668037027440334
0.12,-16.261102520604396
0.13,-16.668037027440334
0.14,-16.668037027440334
0.15,-16.261102520604396
0.16,-16.261102520604396
0.17,-15.854168013768458
0.18,-16.668037027440334
0.19,-15.854168013768458
0.2,-16.261102520604396
0.21,-15.854168013768458
0.22,-15.854168013768458
0.23,-15.854168013768458
0.24,-16.261102520604396
0.25,-16.261102520604396
0.26,-16.261102520604396
0.27,-15.854168013768458
0.28,-16.261102520604396
0.29,-16.668037027440334
0.3,-16.668037027440334
0.31,-16.668037027440334
0.32,-16.668037027440334
0.33,-16.668037027440334
0.34,-16.668037027440334
0.35,-16.668037027440334
0.36,-16.668037027440334
0.37,-16.668037027440334
0.38,-16.668037027440334
0.39,-16.668037027440334
0.4,-16.668037027440334
0.41,-16.261102520604396
0.42,-16.261102520604396
0.43,-16.261102520604396
0.44,-16.261102520604396
0.45,-16.261102520604396
0.46,-16.261102520604396
0.47,-10.157084918065333
0.48,-16.261102520604396
0.49,-15.854168013768458
0.5,-15.040299000096581
0.51,-16.668037027440334
0.52,-16.668037027440334
0.53,-16.668037027440334
0.54,-16.668037027440334
0.55,-16.261102520604396
0.56,-16.261102520604396
0.57,-16.261102520604396
0.58,-16.261102520604396
0.59,-16.261102520604396
0.6,-16.261102520604396
0.61,-16.261102520604396
0.62,-16.261102520604396
0.63,-16.261102520604396
0.64,-16.261102520604396
0.65,-16.261102520604396
0.66,-16.261102520604396
0.67,-16.261102520604396
0.68,-16.261102520604396
0.69,-9.750150411229397
0.7,-16.668037027440334
0.71,-16.668037027440334
0.72,-16.668037027440334
0.73,-16.668037027440334
0.74,-16.668037027440334
0.75,-15.040299000096581
0.76,-15.040299000096581
0.77,-16.261102520604396
0.78,-16.668037027440334
0.79,-15.040299000096581
0.8,-15.040299000096581
0.81,-15.040299000096581
0.82,-15.040299000096581
0.83,-15.040299000096581
0.84,-15.040299000096581
0.85,-15.040299000096581
0.86,-15.040299000096581
0.87,-15.040299000096581
0.88,-15.040299000096581
0.89,-15.040299000096581
0.9,-15.040299000096581
0.91,-15.040299000096581
0.92,-15.040299000096581
0.93,-15.040299000096581
0.94,-15.040299000096581
0.95,-15.040299000096581
0.96,-15.040299000096581
0.97,-15.040299000096581
0.98,-15.040299000096581
0.99,-15.040299000096581
1.0,-15.040299000096581
1.01,-15.040299000096581
1.02,-15.040299000096581
1.03,-15.040299000096581
1.04,-15.040299000096581
1.05,-15.040299000096581
1.06,-15.040299000096581
1.07,-11.784822945409083
1.08,-16.668037027440334
1.09,-16.668037027440334
1.1,-16.668037027440334
1.11,-16.668037027440334
1.12,-16.668037027440334
1.13,-16.668037027440334
1.14,-16.668037027440334
1.15,-16.668037027440334
1.16,-16.668037027440334
1.17,-16.668037027440334
1.18,-16.668037027440334
1.19,-16.668037027440334
1.2,-16.668037027440334
1.21,-16.668037027440334
1.22,-16.668037027440334
1.23,-16.668037027440334
1.24,-16.668037027440334
1.25,-16.668037027440334
1.26,-16.668037027440334
1.27,-16.668037027440334
1.28,-16.668037027440334
1.29,-16.668037027440334
1.3,-16.668037027440334
1.31,-16.668037027440334
1.32,-16.668037027440334
1.33,-16.668037027440334
1.34,-16.668037027440334
1.35,-16.668037027440334
1.36,-16.668037027440334
1.37,-16.668037027440334
1.38,-13.81949547958877
1.39,-16.668037027440334
1.4,-16.668037027440334
1.41,-16.668037027440334
1.42,-16.668037027440334
1.43,-16.668037027440334
1.44,-16.668037027440334
1.45,-16.668037027440334
1.46,-16.668037027440334
1.47,-16.668037027440334
1.48,-16.668037027440334
1.49,-16.668037027440334
1.5,-16.668037027440334
1.51,-16.668037027440334
1.52,-16.668037027440334
1.53,-16.668037027440334
1.54,-16.668037027440334
1.55,-16.668037027440334
1.56,-16.668037027440334
1.57,-16.668037027440334
1.58,-16.668037027440334
1.59,-16.668037027440334
1.6,-16.668037027440334
1.61,-16.668037027440334
1.62,-16.668037027440334
1.63,-16.668037027440334
1.64,-16.668037027440334
1.65,-16.668037027440334
1.66,-16.668037027440334
1.67,-14.226429986424709
1.68,-16.668037027440334
1.69,-13.005626465916896
1.7,-13.005626465916896
1.71,-13.005626465916896
1.72,-13.005626465916896
1.73,-13.005626465916896
1.74,-13.005626465916896
1.75,-13.005626465916896
1.76,-13.005626465916896
1.77,-13.005626465916896
1.78,-13.005626465916896
1.79,-13.005626465916896
1.8,-13.005626465916896
1.81,-13.005626465916896
1.82,-13.005626465916896
1.83,-13.005626465916896
1.84,-13.005626465916896
1.85,-13.005626465916896
1.86,-13.005626465916896
1.87,-13.005626465916896
1.88,-13.005626465916896
1.89,-13.005626465916896
1.9,-13.005626465916896
1.91,-13.005626465916896
1.92,-13.005626465916896
1.93,-13.005626465916896
1.94,-13.005626465916896
1.95,-13.005626465916896
1.96,-13.005626465916896
1.97,-13.005626465916896
1.98,-13.005626465916896
1.99,-13.005626465916896
2.0,-13.005626465916896
2.01,-13.005626465916896
2.02,-13.005626465916896
2.03,-13.005626465916896
2.04,-13.005626465916896
2.05,-13.005626465916896
2.06,-13.005626465916896
2.07,-13.005626465916896
2.08,-13.005626465916896
2.09,-13.005626465916896
2.1,-13.005626465916896
2.11,-13.005626465916896
2.12,-13.005626465916896
2.13,-13.005626465916896
2.14,-13.005626465916896
2.15,-13.005626465916896
2.16,-13.005626465916896
2.17,-13.005626465916896
2.18,-13.005626465916896
2.19,-13.005626465916896
2.2,-13.005626465916896
2.21,-13.005626465916896
2.22,-13.005626465916896
2.23,-13.005626465916896
2.24,-13.005626465916896
2.25,-13.005626465916896
2.26,-13.005626465916896
2.27,-13.005626465916896
2.28,-13.005626465916896
2.29,-13.005626465916896
2.3,-13.005626465916896
2.31,-13.005626465916896
2.32,-13.005626465916896
2.33,-13.005626465916896
2.34,-13.005626465916896
2.35,-13.005626465916896
2.36,-13.005626465916896
2.37,-13.005626465916896
2.38,-13.005626465916896
2.39,-13.005626465916896
2.4,-13.005626465916896
2.41,-13.005626465916896
2.42,-13.005626465916896
2.43,-13.005626465916896
2.44,-13.005626465916896
2.45,-13.005626465916896
2.46,-13.005626465916896
2.47,-13.005626465916896
2.48,-13.005626465916896
2.49,-13.005626465916896
2.5,-13.005626465916896
2.51,-13.005626465916896
2.52,-13.005626465916896
2.53,-13.005626465916896
2.54,-13.005626465916896
2.55,-13.005626465916896
2.56,-13.005626465916896
2.57,-13.005626465916896
2.58,-13.005626465916896
2.59,-13.005626465916896
2.6,-13.005626465916896
2.61,-13.005626465916896
2.62,-13.005626465916896
2.63,-13.005626465916896
2.64,-13.005626465916896
2.65,-13.005626465916896
2.66,-13.005626465916896
2.67,-13.005626465916896
2.68,-13.005626465916896
2.69,-13.005626465916896
2.7,-13.005626465916896
2.71,-13.005626465916896
2.72,-13.005626465916896
2.73,-13.005626465916896
2.74,-13.005626465916896
2.75,-13.005626465916896
2.76,-13.005626465916896
2.77,-13.005626465916896
2.78,-13.005626465916896
2.79,-13.005626465916896
2.8,-13.005626465916896
2.81,-13.005626465916896
2.82,-13.005626465916896
2.83,-13.005626465916896
2.84,-13.005626465916896
2.85,-13.005626465916896
2.86,-13.005626465916896
2.87,-13.005626465916896
2.88,-13.005626465916896
2.89,-13.005626465916896
2.9,-13.005626465916896
2.91,-13.005626465916896
2.92,-13.005626465916896
2.93,-13.005626465916896
2.94,-13.005626465916896
2.95,-13.005626465916896
2.96,-13.005626465916896
2.97,-13.005626465916896
2.98,-13.005626465916896
2.99,-13.005626465916896
3.0,-13.005626465916896
3.01,-13.005626465916896
3.02,-13.005626465916896
3.03,-13.005626465916896
3.04,-13.005626465916896
3.05,-13.005626465916896
3.06,-13.005626465916896
3.07,-13.005626465916896
3.08,-13.005626465916896
3.09,-13.005626465916896
3.1,-13.005626465916896
3.11,-13.005626465916896
3.12,-13.005626465916896
3.13,-13.005626465916896
3.14,-13.005626465916896
3.15,-13.005626465916896
3.16,-15.040299000096581
3.17,-15.040299000096581
3.18,-15.040299000096581
3.19,-15.040299000096581
3.2,-15.040299000096581
3.21,-15.040299000096581
3.22,-15.040299000096581
3.23,-15.040299000096581
3.24,-15.040299000096581
3.25,-15.040299000096581
3.26,-15.040299000096581
3.27,-15.040299000096581
3.28,-15.040299000096581
3.29,-15.040299000096581
3.3,-15.040299000096581
3.31,-15.040299000096581
3.32,-15.040299000096581
3.33,-15.040299000096581
3.34,-15.040299000096581
3.35,-15.040299000096581
3.36,-15.040299000096581
3.37,-15.040299000096581
3.38,-15.040299000096581
3.39,-15.040299000096581
3.4,-15.040299000096581
3.41,-15.040299000096581
3.42,-15.040299000096581
3.43,-15.040299000096581
3.44,-15.040299000096581
3.45,-15.040299000096581
