Systolic_Pressure, Dyastolic_Pressure,Pulse, note
160,113,135,marco.perfect
time,pressure(mmHg)
0.0,-16.668037027440334
0.01,-16.668037027440334
0.02,-15.854168013768458
0.03,-14.633364493260647
0.04,-16.668037027440334
0.05,-4.460002210445195
0.06,-13.005626465916896
0.07,-15.854168013768458
0.08,-16.668037027440334
0.09,-16.668037027440334
0.1,-16.668037027440334
0.11,-16.261102520604396
0.12,-16.261102520604396
0.13,-16.261102520604396
0.14,-16.261102520604396
0.15,-16.261102520604396
0.16,-16.261102520604396
0.17,-16.261102520604396
0.18,-16.261102520604396
0.19,-16.261102520604396
0.2,-16.261102520604396
0.21,-16.261102520604396
0.22,-16.261102520604396
0.23,-16.261102520604396
0.24,-16.261102520604396
0.25,-16.261102520604396
0.26,-16.261102520604396
0.27,-16.261102520604396
0.28,-16.261102520604396
0.29,-16.261102520604396
0.3,-16.261102520604396
0.31,-16.261102520604396
0.32,-16.261102520604396
0.33,-16.261102520604396
0.34,-16.261102520604396
0.35,-16.261102520604396
0.36,-16.261102520604396
0.37,-16.261102520604396
0.38,-16.261102520604396
0.39,-16.261102520604396
0.4,-16.261102520604396
0.41,-16.261102520604396
0.42,-16.261102520604396
0.43,-16.261102520604396
0.44,-16.261102520604396
0.45,-16.261102520604396
0.46,-16.261102520604396
0.47,-16.261102520604396
0.48,-16.261102520604396
0.49,-16.261102520604396
0.5,-16.261102520604396
0.51,-16.261102520604396
0.52,-16.261102520604396
0.53,-16.261102520604396
0.54,-16.261102520604396
0.55,-16.261102520604396
0.56,-16.261102520604396
0.57,-16.261102520604396
0.58,-16.261102520604396
0.59,-16.261102520604396
0.6,-16.261102520604396
0.61,-16.261102520604396
0.62,-16.261102520604396
0.63,-16.261102520604396
0.64,-16.261102520604396
0.65,-16.261102520604396
0.66,-16.261102520604396
0.67,-16.261102520604396
0.68,-16.261102520604396
0.69,-16.261102520604396
0.7,-16.261102520604396
0.71,-16.261102520604396
0.72,-16.261102520604396
0.73,-16.261102520604396
0.74,-16.261102520604396
0.75,-16.261102520604396
0.76,-16.261102520604396
0.77,-16.261102520604396
0.78,-16.261102520604396
0.79,-16.261102520604396
0.8,-16.261102520604396
0.81,-16.261102520604396
0.82,-16.261102520604396
0.83,-16.261102520604396
0.84,-16.261102520604396
0.85,-16.261102520604396
0.86,-16.261102520604396
0.87,-16.261102520604396
0.88,-16.261102520604396
0.89,-16.261102520604396
0.9,-16.261102520604396
0.91,-16.261102520604396
0.92,-16.261102520604396
0.93,-16.261102520604396
0.94,-16.261102520604396
0.95,-16.261102520604396
0.96,-16.261102520604396
0.97,-16.261102520604396
0.98,-16.261102520604396
0.99,-16.261102520604396
1.0,-16.261102520604396
1.01,-16.261102520604396
1.02,-16.261102520604396
1.03,-16.261102520604396
1.04,-16.261102520604396
1.05,-16.261102520604396
1.06,-16.261102520604396
1.07,-16.261102520604396
1.08,-16.261102520604396
1.09,-16.261102520604396
1.1,-16.261102520604396
1.11,-16.261102520604396
1.12,-16.261102520604396
1.13,-16.261102520604396
1.14,-16.261102520604396
1.15,-16.261102520604396
1.16,-16.261102520604396
1.17,-16.261102520604396
1.18,-16.261102520604396
1.19,-16.261102520604396
1.2,-16.261102520604396
1.21,-16.261102520604396
1.22,-16.261102520604396
1.23,-16.261102520604396
1.24,-16.261102520604396
1.25,-16.261102520604396
1.26,-16.261102520604396
1.27,-16.261102520604396
1.28,-16.261102520604396
1.29,-16.261102520604396
1.3,-16.261102520604396
1.31,-16.261102520604396
1.32,-16.261102520604396
1.33,-16.261102520604396
1.34,-16.261102520604396
1.35,-16.261102520604396
1.36,-16.261102520604396
1.37,-16.261102520604396
1.38,-16.261102520604396
1.39,-16.261102520604396
1.4,-16.261102520604396
1.41,-16.261102520604396
1.42,-16.261102520604396
1.43,-16.261102520604396
1.44,-16.261102520604396
1.45,-16.261102520604396
1.46,-16.261102520604396
1.47,-16.261102520604396
1.48,-16.261102520604396
1.49,-16.261102520604396
1.5,-16.261102520604396
1.51,-16.261102520604396
1.52,-16.261102520604396
1.53,-16.261102520604396
1.54,-16.261102520604396
1.55,-16.261102520604396
1.56,-16.261102520604396
1.57,-16.261102520604396
1.58,-16.261102520604396
1.59,-16.261102520604396
1.6,-16.261102520604396
1.61,-16.261102520604396
1.62,0.830146378421993
1.63,0.830146378421993
1.64,0.830146378421993
1.65,0.830146378421993
1.66,1.2370808852579307
1.67,0.830146378421993
1.68,0.830146378421993
1.69,0.830146378421993
1.7,0.830146378421993
1.71,0.830146378421993
1.72,0.830146378421993
1.73,0.830146378421993
1.74,0.830146378421993
1.75,1.2370808852579307
1.76,1.2370808852579307
1.77,0.830146378421993
1.78,1.2370808852579307
1.79,0.830146378421993
1.8,1.2370808852579307
1.81,0.830146378421993
1.82,1.2370808852579307
1.83,1.2370808852579307
1.84,1.2370808852579307
1.85,0.830146378421993
1.86,-0.3906571178306328
1.87,0.830146378421993
1.88,0.830146378421993
1.89,0.830146378421993
1.9,0.830146378421993
1.91,0.830146378421993
1.92,0.830146378421993
1.93,0.830146378421993
1.94,0.830146378421993
1.95,0.830146378421993
1.96,0.830146378421993
1.97,0.830146378421993
1.98,0.830146378421993
1.99,0.830146378421993
2.0,0.830146378421993
2.01,0.830146378421993
2.02,0.830146378421993
2.03,0.830146378421993
2.04,0.830146378421993
2.05,0.830146378421993
2.06,0.830146378421993
2.07,0.830146378421993
2.08,1.2370808852579307
2.09,0.830146378421993
2.1,0.830146378421993
2.11,0.830146378421993
2.12,0.830146378421993
2.13,1.2370808852579307
2.14,0.830146378421993
2.15,1.2370808852579307
2.16,1.2370808852579307
2.17,-14.226429986424709
2.18,0.830146378421993
2.19,0.830146378421993
2.2,1.2370808852579307
2.21,0.830146378421993
2.22,0.830146378421993
2.23,0.830146378421993
2.24,0.830146378421993
2.25,1.2370808852579307
2.26,0.830146378421993
2.27,0.830146378421993
2.28,1.2370808852579307
2.29,0.830146378421993
2.3,1.2370808852579307
2.31,1.2370808852579307
2.32,0.830146378421993
2.33,0.830146378421993
2.34,1.2370808852579307
2.35,0.830146378421993
2.36,0.830146378421993
2.37,0.830146378421993
2.38,0.830146378421993
2.39,0.830146378421993
2.4,0.830146378421993
2.41,0.830146378421993
2.42,1.2370808852579307
2.43,1.2370808852579307
2.44,0.830146378421993
2.45,0.830146378421993
2.46,0.830146378421993
2.47,1.2370808852579307
2.48,0.830146378421993
2.49,1.2370808852579307
2.5,0.830146378421993
2.51,1.644015392093868
2.52,1.2370808852579307
2.53,0.830146378421993
2.54,0.830146378421993
2.55,1.2370808852579307
2.56,0.830146378421993
2.57,1.2370808852579307
2.58,0.830146378421993
2.59,0.830146378421993
2.6,0.830146378421993
2.61,0.830146378421993
2.62,0.830146378421993
2.63,0.830146378421993
2.64,1.2370808852579307
2.65,1.2370808852579307
2.66,0.830146378421993
2.67,1.2370808852579307
2.68,1.2370808852579307
2.69,1.2370808852579307
2.7,0.830146378421993
2.71,0.830146378421993
2.72,0.830146378421993
2.73,0.830146378421993
2.74,1.2370808852579307
2.75,0.830146378421993
2.76,0.830146378421993
2.77,1.2370808852579307
2.78,0.830146378421993
2.79,0.830146378421993
2.8,1.2370808852579307
2.81,0.830146378421993
2.82,0.830146378421993
2.83,1.2370808852579307
2.84,0.830146378421993
2.85,0.830146378421993
2.86,1.2370808852579307
2.87,0.830146378421993
2.88,0.830146378421993
2.89,0.830146378421993
2.9,0.830146378421993
2.91,0.830146378421993
2.92,0.830146378421993
2.93,0.830146378421993
2.94,0.830146378421993
2.95,0.830146378421993
2.96,0.830146378421993
2.97,0.830146378421993
2.98,0.830146378421993
2.99,1.2370808852579307
3.0,0.830146378421993
3.01,0.830146378421993
3.02,0.830146378421993
3.03,0.830146378421993
3.04,0.830146378421993
3.05,0.830146378421993
3.06,0.830146378421993
3.07,1.2370808852579307
3.08,0.830146378421993
3.09,1.2370808852579307
3.1,0.830146378421993
3.11,0.830146378421993
3.12,0.830146378421993
3.13,1.644015392093868
3.14,0.830146378421993
3.15,1.2370808852579307
3.16,0.830146378421993
3.17,1.2370808852579307
3.18,0.830146378421993
3.19,0.830146378421993
3.2,0.830146378421993
3.21,0.830146378421993
3.22,0.830146378421993
3.23,0.830146378421993
3.24,0.830146378421993
3.25,0.830146378421993
3.26,1.2370808852579307
3.27,1.2370808852579307
3.28,1.2370808852579307
3.29,1.2370808852579307
3.3,1.2370808852579307
3.31,0.830146378421993
3.32,1.2370808852579307
3.33,0.830146378421993
3.34,0.830146378421993
3.35,0.830146378421993
3.36,0.830146378421993
3.37,0.830146378421993
3.38,0.830146378421993
3.39,0.830146378421993
3.4,1.2370808852579307
3.41,0.830146378421993
3.42,0.830146378421993
3.43,0.830146378421993
3.44,0.830146378421993
3.45,0.830146378421993
3.46,0.830146378421993
3.47,0.830146378421993
3.48,0.830146378421993
3.49,0.830146378421993
3.5,0.830146378421993
3.51,0.830146378421993
3.52,0.830146378421993
3.53,1.2370808852579307
3.54,0.830146378421993
3.55,0.830146378421993
3.56,0.830146378421993
