Systolic_Pressure, Dyastolic_Pressure,Pulse, note
0,0,0,
time,pressure(mmHg)
0.0,-13.412560972752834
0.01,-16.668037027440334
0.02,-16.668037027440334
0.03,-16.261102520604396
0.04,-12.191757452245021
0.05,-12.191757452245021
0.06,-15.44723350693252
0.07,-16.668037027440334
0.08,-16.668037027440334
0.09,-16.668037027440334
0.1,-16.668037027440334
0.11,-16.668037027440334
0.12,-16.668037027440334
0.13,-16.668037027440334
0.14,-16.668037027440334
0.15,-16.668037027440334
0.16,-16.668037027440334
0.17,-16.668037027440334
0.18,-16.668037027440334
0.19,-16.668037027440334
0.2,-16.668037027440334
0.21,-2.01839516942957
0.22,-10.970953931737208
0.23,-15.44723350693252
0.24,-16.261102520604396
0.25,-16.261102520604396
0.26,-16.261102520604396
0.27,-16.261102520604396
0.28,-16.261102520604396
0.29,-16.261102520604396
0.3,-16.261102520604396
0.31,-16.261102520604396
0.32,-16.261102520604396
0.33,-16.261102520604396
0.34,-16.261102520604396
0.35,-16.261102520604396
0.36,-16.261102520604396
0.37,-16.261102520604396
0.38,-16.261102520604396
0.39,-16.261102520604396
0.4,-16.261102520604396
0.41,-16.261102520604396
0.42,-16.261102520604396
0.43,-16.261102520604396
0.44,-16.261102520604396
0.45,-1.6114606625936323
0.46,-10.970953931737208
0.47,-15.854168013768458
0.48,-16.668037027440334
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-16.668037027440334
0.52,-6.901608863377833
0.53,-13.005626465916896
0.54,-15.854168013768458
0.55,-16.668037027440334
0.56,-16.261102520604396
0.57,-16.668037027440334
0.58,-16.668037027440334
0.59,-16.261102520604396
0.6,-16.668037027440334
0.61,-16.668037027440334
0.62,-15.854168013768458
0.63,-15.854168013768458
0.64,-15.854168013768458
0.65,-15.854168013768458
0.66,-15.854168013768458
0.67,-15.854168013768458
0.68,-15.854168013768458
0.69,-15.854168013768458
0.7,-15.854168013768458
0.71,-15.854168013768458
0.72,-15.854168013768458
0.73,-15.854168013768458
0.74,-15.854168013768458
0.75,-15.854168013768458
0.76,-15.854168013768458
0.77,-15.854168013768458
0.78,-15.854168013768458
0.79,-15.854168013768458
0.8,-15.854168013768458
0.81,-15.854168013768458
0.82,-15.854168013768458
0.83,-16.668037027440334
0.84,-15.44723350693252
0.85,-16.261102520604396
0.86,-16.261102520604396
0.87,-16.668037027440334
0.88,-16.668037027440334
0.89,-16.668037027440334
0.9,-16.261102520604396
0.91,-15.44723350693252
0.92,-16.261102520604396
0.93,-16.668037027440334
0.94,-16.261102520604396
0.95,-16.668037027440334
0.96,-16.668037027440334
0.97,-16.261102520604396
0.98,-16.261102520604396
0.99,-16.668037027440334
1.0,-16.668037027440334
1.01,-16.668037027440334
1.02,-16.668037027440334
1.03,-16.668037027440334
1.04,-16.668037027440334
1.05,-16.668037027440334
1.06,-16.668037027440334
1.07,-16.668037027440334
1.08,-16.668037027440334
1.09,-16.668037027440334
1.1,-16.668037027440334
1.11,-16.668037027440334
1.12,-16.668037027440334
1.13,-16.668037027440334
1.14,-16.668037027440334
1.15,-16.668037027440334
1.16,-16.668037027440334
1.17,-16.668037027440334
1.18,-16.668037027440334
1.19,-16.668037027440334
1.2,-16.668037027440334
1.21,-16.668037027440334
1.22,-16.668037027440334
1.23,-16.668037027440334
1.24,-16.668037027440334
1.25,-16.668037027440334
1.26,-16.668037027440334
1.27,-16.668037027440334
1.28,-16.668037027440334
1.29,1.2370808852579307
1.3,0.830146378421993
1.31,1.2370808852579307
1.32,1.2370808852579307
1.33,1.2370808852579307
1.34,1.2370808852579307
1.35,1.2370808852579307
1.36,1.2370808852579307
1.37,1.2370808852579307
1.38,0.830146378421993
1.39,0.830146378421993
1.4,1.2370808852579307
1.41,1.2370808852579307
1.42,1.2370808852579307
1.43,0.830146378421993
1.44,1.2370808852579307
1.45,0.830146378421993
1.46,1.644015392093868
1.47,1.2370808852579307
1.48,0.830146378421993
1.49,0.830146378421993
1.5,0.830146378421993
1.51,1.2370808852579307
1.52,0.830146378421993
1.53,0.830146378421993
1.54,0.830146378421993
1.55,0.830146378421993
1.56,1.2370808852579307
1.57,0.830146378421993
1.58,1.2370808852579307
1.59,1.2370808852579307
1.6,1.2370808852579307
1.61,0.830146378421993
1.62,1.2370808852579307
1.63,1.2370808852579307
1.64,1.2370808852579307
1.65,0.830146378421993
1.66,0.830146378421993
1.67,0.830146378421993
1.68,0.830146378421993
1.69,1.2370808852579307
1.7,19.14219957412217
1.71,0.830146378421993
1.72,1.2370808852579307
1.73,0.830146378421993
1.74,1.2370808852579307
1.75,1.2370808852579307
1.76,1.2370808852579307
1.77,0.830146378421993
1.78,1.2370808852579307
1.79,1.2370808852579307
1.8,1.2370808852579307
1.81,1.2370808852579307
1.82,1.2370808852579307
1.83,0.830146378421993
1.84,1.2370808852579307
1.85,1.2370808852579307
1.86,1.2370808852579307
1.87,1.2370808852579307
1.88,1.2370808852579307
1.89,0.830146378421993
1.9,1.2370808852579307
1.91,1.2370808852579307
1.92,-6.4946747446248825
1.93,-6.4946747446248825
1.94,1.2370808852579307
1.95,1.2370808852579307
1.96,0.830146378421993
1.97,1.2370808852579307
1.98,0.830146378421993
1.99,0.830146378421993
2.0,1.2370808852579307
2.01,1.2370808852579307
2.02,1.2370808852579307
2.03,0.830146378421993
2.04,1.2370808852579307
2.05,0.830146378421993
2.06,0.830146378421993
2.07,0.830146378421993
2.08,1.644015392093868
2.09,0.830146378421993
2.1,1.2370808852579307
2.11,0.830146378421993
2.12,1.2370808852579307
2.13,1.2370808852579307
2.14,1.2370808852579307
2.15,1.2370808852579307
2.16,1.2370808852579307
2.17,1.2370808852579307
2.18,1.2370808852579307
2.19,1.2370808852579307
2.2,1.2370808852579307
2.21,1.2370808852579307
2.22,1.2370808852579307
2.23,0.830146378421993
2.24,0.830146378421993
2.25,2.0509498989298054
2.26,0.830146378421993
2.27,1.2370808852579307
2.28,0.830146378421993
2.29,0.830146378421993
2.3,0.830146378421993
2.31,1.2370808852579307
2.32,0.830146378421993
2.33,1.2370808852579307
2.34,0.830146378421993
2.35,1.2370808852579307
2.36,0.830146378421993
2.37,0.830146378421993
2.38,1.2370808852579307
2.39,1.2370808852579307
2.4,1.2370808852579307
2.41,0.830146378421993
2.42,0.830146378421993
2.43,0.830146378421993
2.44,0.830146378421993
2.45,1.2370808852579307
2.46,1.2370808852579307
2.47,1.2370808852579307
2.48,1.2370808852579307
2.49,1.2370808852579307
2.5,0.830146378421993
2.51,0.830146378421993
2.52,1.2370808852579307
2.53,1.2370808852579307
2.54,1.2370808852579307
2.55,1.2370808852579307
2.56,1.2370808852579307
2.57,1.2370808852579307
2.58,2.0509498989298054
2.59,0.830146378421993
2.6,1.2370808852579307
2.61,0.830146378421993
2.62,1.644015392093868
2.63,1.2370808852579307
2.64,1.2370808852579307
2.65,1.2370808852579307
2.66,0.830146378421993
2.67,0.830146378421993
2.68,1.2370808852579307
2.69,1.2370808852579307
2.7,1.2370808852579307
2.71,0.830146378421993
2.72,1.2370808852579307
2.73,1.2370808852579307
2.74,1.2370808852579307
2.75,-7.715477877049708
2.76,1.2370808852579307
2.77,1.2370808852579307
2.78,1.2370808852579307
2.79,1.644015392093868
2.8,1.2370808852579307
2.81,1.2370808852579307
2.82,1.2370808852579307
2.83,1.2370808852579307
2.84,0.830146378421993
2.85,1.2370808852579307
2.86,1.2370808852579307
2.87,1.2370808852579307
2.88,1.2370808852579307
2.89,0.830146378421993
2.9,1.2370808852579307
2.91,1.2370808852579307
2.92,1.2370808852579307
2.93,0.830146378421993
2.94,1.2370808852579307
2.95,1.2370808852579307
2.96,1.644015392093868
2.97,1.2370808852579307
2.98,0.830146378421993
2.99,1.2370808852579307
3.0,1.2370808852579307
3.01,1.2370808852579307
3.02,1.2370808852579307
3.03,1.2370808852579307
3.04,0.830146378421993
3.05,1.2370808852579307
3.06,0.830146378421993
3.07,1.2370808852579307
3.08,1.2370808852579307
3.09,1.2370808852579307
3.1,1.2370808852579307
3.11,0.830146378421993
3.12,1.2370808852579307
3.13,0.830146378421993
3.14,1.2370808852579307
3.15,0.830146378421993
3.16,0.830146378421993
3.17,1.644015392093868
3.18,1.2370808852579307
3.19,1.2370808852579307
3.2,1.2370808852579307
3.21,1.2370808852579307
3.22,1.2370808852579307
3.23,0.830146378421993
3.24,1.2370808852579307
3.25,1.2370808852579307
3.26,1.2370808852579307
3.27,0.830146378421993
3.28,1.2370808852579307
3.29,0.830146378421993
3.3,1.2370808852579307
3.31,1.2370808852579307
3.32,1.2370808852579307
