Systolic_Pressure, Dyastolic_Pressure,Pulse, note
0,0,0,marrcco
time,pressure(mmHg)
0.0,-12.59869195908096
0.01,-14.226429986424709
0.02,-14.226429986424709
0.03,-14.226429986424709
0.04,-14.226429986424709
0.05,-14.226429986424709
0.06,-14.226429986424709
0.07,-14.226429986424709
0.08,-14.226429986424709
0.09,-14.226429986424709
0.1,-14.226429986424709
0.11,-14.226429986424709
0.12,-14.226429986424709
0.13,-14.226429986424709
0.14,-14.226429986424709
0.15,-14.226429986424709
0.16,-14.226429986424709
0.17,-14.226429986424709
0.18,-14.226429986424709
0.19,-2.832264183101445
0.2,-12.191757452245021
0.21,-15.854168013768458
0.22,-16.668037027440334
0.23,-16.668037027440334
0.24,-16.668037027440334
0.25,-16.668037027440334
0.26,-16.668037027440334
0.27,-16.668037027440334
0.28,-16.668037027440334
0.29,-16.668037027440334
0.3,-16.668037027440334
0.31,-16.668037027440334
0.32,-16.668037027440334
0.33,-16.668037027440334
0.34,-16.668037027440334
0.35,-16.668037027440334
0.36,-16.668037027440334
0.37,-16.668037027440334
0.38,-16.668037027440334
0.39,-16.668037027440334
0.4,-16.668037027440334
0.41,-16.668037027440334
0.42,-16.668037027440334
0.43,-16.668037027440334
0.44,-16.668037027440334
0.45,-16.668037027440334
0.46,-16.668037027440334
0.47,-16.668037027440334
0.48,-16.668037027440334
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-16.668037027440334
0.52,-16.668037027440334
0.53,-16.668037027440334
0.54,-16.668037027440334
0.55,-16.668037027440334
0.56,-16.668037027440334
0.57,-16.668037027440334
0.58,-16.668037027440334
0.59,-16.668037027440334
0.6,-16.668037027440334
0.61,-16.668037027440334
0.62,-16.668037027440334
0.63,-16.668037027440334
0.64,-16.668037027440334
0.65,-16.668037027440334
0.66,-16.668037027440334
0.67,-16.668037027440334
0.68,-16.668037027440334
0.69,-16.668037027440334
0.7,-16.668037027440334
0.71,-16.668037027440334
0.72,-4.0530677036092575
0.73,-11.377888438573146
0.74,-15.44723350693252
0.75,-16.668037027440334
0.76,-15.854168013768458
0.77,-15.854168013768458
0.78,-15.854168013768458
0.79,-15.854168013768458
0.8,-15.854168013768458
0.81,-15.854168013768458
0.82,-15.854168013768458
0.83,-15.854168013768458
0.84,-15.854168013768458
0.85,-15.854168013768458
0.86,-15.854168013768458
0.87,-15.854168013768458
0.88,-15.854168013768458
0.89,-15.854168013768458
0.9,-15.854168013768458
0.91,-15.854168013768458
0.92,-15.854168013768458
0.93,-15.854168013768458
0.94,-15.854168013768458
0.95,-15.854168013768458
0.96,-15.854168013768458
0.97,-15.854168013768458
0.98,-15.854168013768458
0.99,-15.854168013768458
1.0,-15.854168013768458
1.01,-15.854168013768458
1.02,-15.854168013768458
1.03,-15.854168013768458
1.04,-15.854168013768458
1.05,-15.854168013768458
1.06,-15.854168013768458
1.07,-15.854168013768458
1.08,-15.854168013768458
1.09,-15.854168013768458
1.1,2.4578844057657436
1.11,2.0509498989298054
1.12,2.0509498989298054
1.13,1.644015392093868
1.14,1.644015392093868
1.15,2.0509498989298054
1.16,1.644015392093868
1.17,2.0509498989298054
1.18,2.4578844057657436
1.19,2.4578844057657436
1.2,2.0509498989298054
1.21,2.0509498989298054
1.22,2.0509498989298054
1.23,2.0509498989298054
1.24,2.0509498989298054
1.25,2.0509498989298054
1.26,1.644015392093868
1.27,2.0509498989298054
1.28,2.0509498989298054
1.29,2.0509498989298054
1.3,2.4578844057657436
1.31,2.0509498989298054
1.32,2.4578844057657436
1.33,2.0509498989298054
1.34,2.0509498989298054
1.35,2.0509498989298054
1.36,2.0509498989298054
1.37,1.644015392093868
1.38,2.0509498989298054
1.39,2.0509498989298054
1.4,2.0509498989298054
1.41,2.0509498989298054
1.42,2.0509498989298054
1.43,2.0509498989298054
1.44,2.0509498989298054
1.45,1.644015392093868
1.46,2.0509498989298054
1.47,2.0509498989298054
1.48,2.0509498989298054
1.49,2.0509498989298054
1.5,2.0509498989298054
1.51,2.0509498989298054
1.52,1.644015392093868
1.53,2.0509498989298054
1.54,2.0509498989298054
1.55,1.644015392093868
1.56,2.0509498989298054
1.57,2.0509498989298054
1.58,2.0509498989298054
1.59,2.4578844057657436
1.6,2.0509498989298054
1.61,1.644015392093868
1.62,2.0509498989298054
1.63,2.0509498989298054
1.64,2.0509498989298054
1.65,2.0509498989298054
1.66,2.0509498989298054
1.67,2.0509498989298054
1.68,2.4578844057657436
1.69,2.0509498989298054
1.7,2.0509498989298054
1.71,2.0509498989298054
1.72,2.0509498989298054
1.73,2.0509498989298054
1.74,2.0509498989298054
1.75,2.0509498989298054
1.76,2.0509498989298054
1.77,2.4578844057657436
1.78,2.0509498989298054
1.79,2.0509498989298054
1.8,2.0509498989298054
1.81,2.0509498989298054
1.82,2.0509498989298054
1.83,2.0509498989298054
1.84,2.4578844057657436
1.85,2.4578844057657436
1.86,7.3410988758799816
1.87,2.0509498989298054
1.88,2.4578844057657436
1.89,2.0509498989298054
1.9,2.0509498989298054
1.91,2.0509498989298054
1.92,2.0509498989298054
1.93,1.644015392093868
1.94,2.0509498989298054
1.95,2.0509498989298054
1.96,2.0509498989298054
1.97,2.0509498989298054
1.98,2.0509498989298054
1.99,2.0509498989298054
2.0,2.0509498989298054
2.01,1.644015392093868
2.02,2.0509498989298054
2.03,2.0509498989298054
2.04,1.644015392093868
2.05,20.76993760146592
2.06,2.0509498989298054
2.07,2.0509498989298054
2.08,2.0509498989298054
2.09,2.0509498989298054
2.1,2.0509498989298054
2.11,2.0509498989298054
2.12,1.644015392093868
2.13,1.644015392093868
2.14,2.0509498989298054
2.15,2.4578844057657436
2.16,2.4578844057657436
2.17,2.0509498989298054
2.18,2.0509498989298054
2.19,2.0509498989298054
2.2,2.0509498989298054
2.21,2.0509498989298054
2.22,1.644015392093868
2.23,2.0509498989298054
2.24,1.644015392093868
2.25,2.4578844057657436
2.26,2.0509498989298054
2.27,2.0509498989298054
2.28,2.0509498989298054
2.29,2.0509498989298054
2.3,2.0509498989298054
2.31,2.0509498989298054
2.32,2.0509498989298054
2.33,2.0509498989298054
2.34,2.0509498989298054
2.35,1.644015392093868
2.36,2.0509498989298054
2.37,2.0509498989298054
2.38,1.644015392093868
2.39,1.644015392093868
2.4,2.0509498989298054
2.41,1.644015392093868
2.42,2.0509498989298054
2.43,2.0509498989298054
2.44,1.644015392093868
2.45,2.0509498989298054
2.46,1.644015392093868
2.47,2.0509498989298054
2.48,2.0509498989298054
2.49,2.0509498989298054
2.5,1.644015392093868
2.51,2.0509498989298054
2.52,2.0509498989298054
2.53,2.0509498989298054
2.54,1.644015392093868
2.55,2.0509498989298054
2.56,2.4578844057657436
2.57,2.0509498989298054
2.58,2.0509498989298054
2.59,1.644015392093868
2.6,1.644015392093868
2.61,2.0509498989298054
2.62,2.0509498989298054
2.63,2.0509498989298054
2.64,2.0509498989298054
2.65,2.4578844057657436
2.66,1.644015392093868
2.67,1.644015392093868
2.68,2.0509498989298054
2.69,2.0509498989298054
2.7,2.0509498989298054
2.71,2.0509498989298054
2.72,2.0509498989298054
2.73,1.644015392093868
2.74,1.2370808852579307
2.75,2.0509498989298054
2.76,2.0509498989298054
2.77,1.644015392093868
2.78,2.0509498989298054
2.79,2.0509498989298054
