Systolic_Pressure, Dyastolic_Pressure,Pulse, note
0,0,89,catarina1
time,pressure(mmHg)
0.0,-15.040299000096581
0.01,-1.6114606625936323
0.02,-12.191757452245021
0.03,-16.261102520604396
0.04,-16.668037027440334
0.05,-16.668037027440334
0.06,-16.261102520604396
0.07,-13.81949547958877
0.08,-16.668037027440334
0.09,-16.668037027440334
0.1,-16.668037027440334
0.11,-16.668037027440334
0.12,-16.668037027440334
0.13,-16.668037027440334
0.14,-16.668037027440334
0.15,-16.668037027440334
0.16,-16.668037027440334
0.17,-16.668037027440334
0.18,-16.668037027440334
0.19,-16.668037027440334
0.2,-16.668037027440334
0.21,-16.668037027440334
0.22,-16.668037027440334
0.23,-16.668037027440334
0.24,-16.668037027440334
0.25,-16.668037027440334
0.26,-16.668037027440334
0.27,-16.668037027440334
0.28,-16.668037027440334
0.29,-16.668037027440334
0.3,-16.668037027440334
0.31,-16.668037027440334
0.32,-16.668037027440334
0.33,-16.668037027440334
0.34,-16.668037027440334
0.35,-16.668037027440334
0.36,-16.668037027440334
0.37,-16.668037027440334
0.38,-16.668037027440334
0.39,-16.668037027440334
0.4,-16.668037027440334
0.41,-16.668037027440334
0.42,-16.668037027440334
0.43,-16.668037027440334
0.44,-16.668037027440334
0.45,-16.668037027440334
0.46,-16.668037027440334
0.47,-16.668037027440334
0.48,-16.668037027440334
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-16.668037027440334
0.52,-16.668037027440334
0.53,-16.668037027440334
0.54,-16.668037027440334
0.55,-16.668037027440334
0.56,-16.668037027440334
0.57,-16.668037027440334
0.58,-16.668037027440334
0.59,-16.668037027440334
0.6,-16.668037027440334
0.61,-16.668037027440334
0.62,-16.668037027440334
0.63,-16.668037027440334
0.64,-16.668037027440334
0.65,-16.668037027440334
0.66,-16.668037027440334
0.67,-16.668037027440334
0.68,-16.668037027440334
0.69,-16.668037027440334
0.7,-16.668037027440334
0.71,-16.668037027440334
0.72,-16.668037027440334
0.73,-16.668037027440334
0.74,-16.668037027440334
0.75,-16.668037027440334
0.76,-16.668037027440334
0.77,-16.668037027440334
0.78,-16.668037027440334
0.79,-9.750150411229397
0.8,-6.087740237788945
0.81,-9.343215904393459
0.82,-14.226429986424709
0.83,-16.261102520604396
0.84,-16.668037027440334
0.85,-16.668037027440334
0.86,-16.668037027440334
0.87,-12.191757452245021
0.88,-16.261102520604396
0.89,-16.668037027440334
0.9,-11.784822945409083
0.91,-16.261102520604396
0.92,-16.261102520604396
0.93,-1.6114606625936323
0.94,2.864818912601681
0.95,6.527229862208107
0.96,5.306425953617306
0.97,1.2370808852579307
0.98,1.644015392093868
0.99,3.6786879262735557
1.0,-15.854168013768458
1.01,-15.44723350693252
1.02,-16.668037027440334
1.03,-16.668037027440334
1.04,-15.44723350693252
1.05,-15.44723350693252
1.06,-15.854168013768458
1.07,-16.668037027440334
1.08,-16.261102520604396
1.09,-16.261102520604396
1.1,-16.261102520604396
1.11,-16.261102520604396
1.12,-16.261102520604396
1.13,-16.261102520604396
