Systolic_Pressure, Dyastolic_Pressure,Pulse, note
0,0,0,maarco
time,pressure(mmHg)
0.0,-16.668037027440334
0.01,-12.59869195908096
0.02,-16.261102520604396
0.03,-16.668037027440334
0.04,-15.040299000096581
0.05,-16.668037027440334
0.06,-12.59869195908096
0.07,-16.668037027440334
0.08,-16.668037027440334
0.09,-13.005626465916896
0.1,-16.668037027440334
0.11,-16.261102520604396
0.12,-16.261102520604396
0.13,-16.668037027440334
0.14,-16.668037027440334
0.15,-16.668037027440334
0.16,-16.668037027440334
0.17,-16.668037027440334
0.18,-16.668037027440334
0.19,-16.668037027440334
0.2,-6.4946747446248825
0.21,-14.226429986424709
0.22,-16.668037027440334
0.23,-16.668037027440334
0.24,-16.668037027440334
0.25,-10.970953931737208
0.26,-10.564019424901272
0.27,-10.564019424901272
0.28,-10.564019424901272
0.29,-10.564019424901272
0.3,-10.564019424901272
0.31,-10.564019424901272
0.32,-10.564019424901272
0.33,8.968836903223732
0.34,-5.27387122411707
0.35,-10.157084918065333
0.36,-15.854168013768458
0.37,-11.784822945409083
0.38,-16.261102520604396
0.39,-16.668037027440334
0.4,-16.261102520604396
0.41,-16.261102520604396
0.42,-16.668037027440334
0.43,-16.668037027440334
0.44,-15.854168013768458
0.45,-15.854168013768458
0.46,-16.668037027440334
0.47,-16.668037027440334
0.48,-16.261102520604396
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-13.81949547958877
0.52,-16.668037027440334
0.53,-16.261102520604396
0.54,-16.261102520604396
0.55,-16.261102520604396
0.56,-16.261102520604396
0.57,-16.261102520604396
0.58,-16.261102520604396
0.59,-16.261102520604396
0.6,-16.261102520604396
0.61,-16.261102520604396
0.62,-16.261102520604396
0.63,-16.261102520604396
0.64,-16.261102520604396
0.65,-16.261102520604396
0.66,-16.261102520604396
0.67,-16.261102520604396
0.68,-16.261102520604396
0.69,-16.261102520604396
0.7,-16.261102520604396
0.71,-16.261102520604396
0.72,-16.261102520604396
0.73,-16.261102520604396
0.74,-16.261102520604396
0.75,-16.261102520604396
0.76,-16.261102520604396
0.77,-16.261102520604396
0.78,-16.261102520604396
0.79,-16.261102520604396
0.8,-16.261102520604396
0.81,-16.261102520604396
0.82,-16.261102520604396
0.83,-16.261102520604396
0.84,-16.261102520604396
0.85,-16.261102520604396
0.86,-16.261102520604396
0.87,-16.261102520604396
0.88,-16.261102520604396
0.89,-16.261102520604396
0.9,-16.261102520604396
0.91,-16.261102520604396
0.92,-16.261102520604396
0.93,-16.261102520604396
0.94,-16.261102520604396
0.95,-16.261102520604396
0.96,-16.261102520604396
0.97,-16.261102520604396
0.98,-16.261102520604396
0.99,-16.261102520604396
1.0,-16.261102520604396
1.01,-16.261102520604396
1.02,-16.261102520604396
1.03,-16.261102520604396
1.04,-16.261102520604396
1.05,-16.261102520604396
1.06,-16.261102520604396
1.07,-16.261102520604396
1.08,-16.261102520604396
1.09,-16.261102520604396
1.1,-16.261102520604396
1.11,-16.261102520604396
1.12,-16.261102520604396
1.13,-16.261102520604396
1.14,-16.261102520604396
1.15,-16.261102520604396
1.16,-16.261102520604396
1.17,-16.261102520604396
1.18,-4.0530677036092575
1.19,-11.784822945409083
1.2,-15.040299000096581
1.21,-15.040299000096581
1.22,-15.040299000096581
1.23,-15.040299000096581
1.24,-15.040299000096581
1.25,-15.040299000096581
1.26,-15.040299000096581
1.27,-15.040299000096581
1.28,-15.040299000096581
1.29,-15.040299000096581
1.3,-15.040299000096581
1.31,-15.040299000096581
1.32,-15.040299000096581
1.33,-15.040299000096581
1.34,-15.040299000096581
1.35,-15.040299000096581
1.36,-15.040299000096581
1.37,-15.040299000096581
1.38,-15.040299000096581
1.39,-15.040299000096581
1.4,-15.040299000096581
