Systolic_Pressure, Dyastolic_Pressure,Pulse, note
0,0,0,Catarina arm
time,pressure(mmHg)
0.0,-16.668037027440334
0.01,-14.226429986424709
0.02,-16.668037027440334
0.03,-8.122412383885644
0.04,-14.226429986424709
0.05,-16.668037027440334
0.06,-16.668037027440334
0.07,-16.668037027440334
0.08,-16.668037027440334
0.09,-16.668037027440334
0.1,-16.261102520604396
0.11,-14.226429986424709
0.12,-14.226429986424709
0.13,-14.226429986424709
0.14,-14.226429986424709
0.15,-14.226429986424709
0.16,-14.226429986424709
0.17,-14.226429986424709
0.18,-14.226429986424709
0.19,-14.226429986424709
0.2,-14.226429986424709
0.21,-14.226429986424709
0.22,-14.226429986424709
0.23,-14.226429986424709
0.24,-14.226429986424709
0.25,-14.226429986424709
0.26,-14.226429986424709
0.27,-14.226429986424709
0.28,-14.226429986424709
0.29,-14.226429986424709
0.3,-14.226429986424709
0.31,-14.226429986424709
0.32,-14.226429986424709
0.33,-14.226429986424709
0.34,-14.226429986424709
0.35,-14.226429986424709
0.36,-14.226429986424709
0.37,4.899491446781369
0.38,-7.30854337021377
0.39,-12.59869195908096
0.4,-16.261102520604396
0.41,-15.854168013768458
0.42,-16.261102520604396
0.43,-16.668037027440334
0.44,-16.668037027440334
0.45,-16.261102520604396
0.46,-16.668037027440334
0.47,-16.261102520604396
0.48,-16.261102520604396
0.49,-16.261102520604396
0.5,-16.261102520604396
0.51,-16.261102520604396
0.52,-16.261102520604396
0.53,-16.261102520604396
0.54,-16.261102520604396
0.55,-16.261102520604396
0.56,-16.261102520604396
0.57,-16.261102520604396
0.58,-16.261102520604396
0.59,-16.261102520604396
0.6,-16.261102520604396
0.61,-16.261102520604396
0.62,-16.261102520604396
0.63,-16.261102520604396
0.64,-16.261102520604396
0.65,-16.261102520604396
0.66,-16.261102520604396
0.67,-16.261102520604396
0.68,-16.261102520604396
0.69,-16.261102520604396
0.7,-16.261102520604396
0.71,-16.261102520604396
0.72,-16.261102520604396
0.73,-16.261102520604396
0.74,-16.261102520604396
0.75,-16.261102520604396
0.76,-16.261102520604396
0.77,-16.261102520604396
0.78,-16.261102520604396
0.79,-16.261102520604396
0.8,-16.261102520604396
0.81,-16.261102520604396
0.82,-16.261102520604396
0.83,-16.261102520604396
0.84,-16.261102520604396
0.85,-16.261102520604396
0.86,-16.261102520604396
0.87,-16.261102520604396
0.88,-16.261102520604396
0.89,-16.261102520604396
0.9,-16.261102520604396
0.91,-16.261102520604396
0.92,-16.261102520604396
0.93,-16.261102520604396
0.94,-16.261102520604396
0.95,-16.261102520604396
0.96,-16.261102520604396
0.97,-16.261102520604396
0.98,-16.261102520604396
0.99,-16.261102520604396
1.0,-16.261102520604396
1.01,-16.261102520604396
1.02,-16.261102520604396
1.03,-16.261102520604396
1.04,-16.261102520604396
1.05,-16.261102520604396
1.06,-16.261102520604396
1.07,-16.261102520604396
1.08,-16.261102520604396
1.09,-16.261102520604396
1.1,-16.261102520604396
1.11,-16.261102520604396
1.12,-16.261102520604396
1.13,-16.261102520604396
1.14,-16.261102520604396
1.15,-16.261102520604396
1.16,-16.261102520604396
1.17,-16.261102520604396
1.18,-16.261102520604396
1.19,-16.261102520604396
1.2,-16.261102520604396
1.21,-16.261102520604396
1.22,-16.261102520604396
1.23,-16.261102520604396
1.24,-16.261102520604396
1.25,-16.261102520604396
1.26,-16.261102520604396
1.27,-16.261102520604396
1.28,-16.261102520604396
1.29,-16.261102520604396
1.3,-16.261102520604396
1.31,-16.261102520604396
1.32,-16.261102520604396
1.33,-16.261102520604396
1.34,-16.261102520604396
1.35,-16.261102520604396
1.36,-16.261102520604396
1.37,-16.261102520604396
1.38,-16.261102520604396
1.39,-16.261102520604396
1.4,-16.261102520604396
1.41,-16.261102520604396
1.42,-16.261102520604396
1.43,-16.261102520604396
1.44,-16.261102520604396
1.45,-16.261102520604396
1.46,-16.261102520604396
1.47,-16.261102520604396
1.48,-16.261102520604396
1.49,-16.261102520604396
1.5,-16.261102520604396
1.51,-16.261102520604396
1.52,-16.261102520604396
1.53,-16.261102520604396
1.54,-16.261102520604396
1.55,-16.261102520604396
1.56,-16.261102520604396
1.57,2.0509498989298054
1.58,1.644015392093868
1.59,2.0509498989298054
1.6,2.0509498989298054
1.61,2.0509498989298054
1.62,2.0509498989298054
1.63,2.0509498989298054
1.64,2.0509498989298054
1.65,2.0509498989298054
1.66,1.644015392093868
1.67,2.0509498989298054
1.68,2.0509498989298054
1.69,2.0509498989298054
1.7,1.644015392093868
1.71,2.0509498989298054
1.72,2.0509498989298054
1.73,2.0509498989298054
1.74,1.644015392093868
1.75,2.0509498989298054
1.76,1.644015392093868
1.77,1.644015392093868
1.78,2.4578844057657436
1.79,2.0509498989298054
1.8,2.0509498989298054
1.81,2.0509498989298054
1.82,2.0509498989298054
1.83,2.0509498989298054
1.84,2.0509498989298054
1.85,2.0509498989298054
1.86,2.0509498989298054
1.87,2.0509498989298054
1.88,2.0509498989298054
1.89,2.0509498989298054
1.9,2.4578844057657436
1.91,-0.3906571178306328
1.92,-10.564019424901272
1.93,-15.44723350693252
1.94,-16.668037027440334
1.95,-16.668037027440334
1.96,-16.668037027440334
1.97,2.0509498989298054
1.98,2.0509498989298054
1.99,2.4578844057657436
2.0,2.0509498989298054
2.01,2.0509498989298054
2.02,2.4578844057657436
2.03,2.0509498989298054
2.04,6.934164369044044
2.05,2.4578844057657436
2.06,2.0509498989298054
2.07,2.0509498989298054
2.08,2.4578844057657436
2.09,2.4578844057657436
2.1,2.0509498989298054
2.11,2.4578844057657436
2.12,2.0509498989298054
2.13,2.4578844057657436
2.14,2.0509498989298054
2.15,2.0509498989298054
2.16,2.0509498989298054
2.17,2.0509498989298054
2.18,2.0509498989298054
2.19,2.4578844057657436
2.2,2.0509498989298054
2.21,2.4578844057657436
2.22,2.4578844057657436
2.23,2.4578844057657436
2.24,2.4578844057657436
2.25,2.4578844057657436
2.26,2.0509498989298054
2.27,2.4578844057657436
2.28,2.0509498989298054
2.29,2.4578844057657436
2.3,2.4578844057657436
2.31,2.0509498989298054
2.32,2.0509498989298054
2.33,2.0509498989298054
2.34,2.0509498989298054
2.35,2.0509498989298054
2.36,2.0509498989298054
2.37,2.0509498989298054
2.38,2.4578844057657436
2.39,2.0509498989298054
2.4,2.0509498989298054
2.41,2.4578844057657436
2.42,2.0509498989298054
2.43,2.4578844057657436
2.44,2.0509498989298054
2.45,2.0509498989298054
2.46,2.4578844057657436
2.47,2.4578844057657436
2.48,2.0509498989298054
2.49,2.4578844057657436
2.5,2.4578844057657436
2.51,2.0509498989298054
2.52,2.4578844057657436
2.53,2.4578844057657436
2.54,2.0509498989298054
2.55,2.0509498989298054
2.56,1.644015392093868
2.57,2.0509498989298054
2.58,1.644015392093868
2.59,2.0509498989298054
2.6,2.0509498989298054
2.61,2.0509498989298054
2.62,2.4578844057657436
2.63,2.0509498989298054
2.64,2.4578844057657436
2.65,2.4578844057657436
2.66,2.0509498989298054
2.67,2.0509498989298054
2.68,2.4578844057657436
2.69,2.0509498989298054
2.7,2.0509498989298054
2.71,2.4578844057657436
2.72,2.0509498989298054
2.73,2.0509498989298054
2.74,2.0509498989298054
2.75,2.0509498989298054
2.76,2.0509498989298054
2.77,2.0509498989298054
2.78,1.644015392093868
2.79,2.0509498989298054
2.8,2.0509498989298054
2.81,2.0509498989298054
2.82,2.0509498989298054
2.83,2.0509498989298054
2.84,2.0509498989298054
2.85,2.0509498989298054
2.86,2.0509498989298054
2.87,3.2717534194376183
2.88,2.0509498989298054
2.89,2.0509498989298054
2.9,1.644015392093868
2.91,2.0509498989298054
2.92,2.0509498989298054
2.93,2.0509498989298054
2.94,1.644015392093868
2.95,2.0509498989298054
2.96,2.4578844057657436
2.97,2.0509498989298054
2.98,2.0509498989298054
2.99,2.0509498989298054
3.0,2.0509498989298054
3.01,2.0509498989298054
3.02,1.644015392093868
3.03,2.0509498989298054
3.04,2.0509498989298054
3.05,2.0509498989298054
3.06,1.644015392093868
3.07,1.644015392093868
3.08,1.644015392093868
3.09,2.0509498989298054
3.1,11.817378451075294
3.11,2.0509498989298054
3.12,1.644015392093868
3.13,2.4578844057657436
3.14,1.644015392093868
3.15,1.644015392093868
3.16,2.0509498989298054
3.17,2.0509498989298054
3.18,1.644015392093868
3.19,2.4578844057657436
3.2,1.644015392093868
3.21,2.0509498989298054
3.22,2.0509498989298054
3.23,1.644015392093868
3.24,1.644015392093868
3.25,2.0509498989298054
3.26,2.0509498989298054
3.27,2.0509498989298054
3.28,2.0509498989298054
3.29,1.644015392093868
3.3,1.644015392093868
3.31,2.0509498989298054
3.32,1.644015392093868
3.33,1.644015392093868
3.34,1.644015392093868
3.35,2.0509498989298054
3.36,1.644015392093868
3.37,1.644015392093868
3.38,2.0509498989298054
3.39,2.0509498989298054
3.4,1.644015392093868
3.41,2.0509498989298054
3.42,2.4578844057657436
3.43,2.0509498989298054
3.44,2.0509498989298054
3.45,2.0509498989298054
3.46,2.0509498989298054
3.47,2.0509498989298054
3.48,1.644015392093868
3.49,1.644015392093868
3.5,2.0509498989298054
3.51,2.0509498989298054
3.52,2.0509498989298054
3.53,1.644015392093868
3.54,2.0509498989298054
3.55,2.0509498989298054
3.56,2.0509498989298054
3.57,2.0509498989298054
3.58,2.0509498989298054
3.59,2.0509498989298054
3.6,2.0509498989298054
3.61,2.0509498989298054
3.62,2.0509498989298054
3.63,2.0509498989298054
3.64,2.0509498989298054
3.65,2.864818912601681
3.66,2.0509498989298054
3.67,2.0509498989298054
3.68,2.0509498989298054
3.69,1.644015392093868
3.7,1.644015392093868
3.71,1.644015392093868
3.72,2.0509498989298054
3.73,2.0509498989298054
3.74,2.0509498989298054
3.75,1.644015392093868
3.76,2.0509498989298054
3.77,1.644015392093868
3.78,1.644015392093868
3.79,2.0509498989298054
3.8,1.644015392093868
3.81,2.0509498989298054
3.82,2.0509498989298054
3.83,2.0509498989298054
3.84,1.644015392093868
3.85,2.0509498989298054
3.86,1.644015392093868
3.87,2.0509498989298054
3.88,2.0509498989298054
3.89,1.644015392093868
3.9,2.0509498989298054
3.91,2.0509498989298054
3.92,2.0509498989298054
3.93,1.644015392093868
3.94,2.0509498989298054
3.95,2.0509498989298054
3.96,1.644015392093868
3.97,2.0509498989298054
3.98,1.644015392093868
3.99,1.644015392093868
4.0,1.644015392093868
4.01,1.644015392093868
4.02,1.644015392093868
4.03,2.0509498989298054
4.04,2.0509498989298054
4.05,2.0509498989298054
4.06,2.0509498989298054
4.07,2.0509498989298054
4.08,2.0509498989298054
4.09,2.0509498989298054
4.1,2.0509498989298054
4.11,1.644015392093868
4.12,1.644015392093868
4.13,1.644015392093868
