Systolic Pressure, Dyastolic Pressure,Pulse, note
0,0,0,mauro 3
time,pressure(mmHg)
0.0,-15.44723350693252
0.01,-16.668037027440334
0.02,-16.668037027440334
0.03,-16.668037027440334
0.04,-16.668037027440334
0.05,-16.668037027440334
0.06,-16.668037027440334
0.07,-16.668037027440334
0.08,-16.668037027440334
0.09,-16.668037027440334
0.1,-16.668037027440334
0.11,-16.668037027440334
0.12,-16.668037027440334
0.13,-16.668037027440334
0.14,-16.668037027440334
0.15,-16.668037027440334
0.16,-16.668037027440334
0.17,-16.668037027440334
0.18,-16.668037027440334
0.19,-16.668037027440334
0.2,-16.668037027440334
0.21,-16.668037027440334
0.22,-16.261102520604396
0.23,-15.44723350693252
0.24,-16.668037027440334
0.25,-16.668037027440334
0.26,-16.668037027440334
0.27,-16.668037027440334
0.28,-16.668037027440334
0.29,-16.668037027440334
0.3,-16.668037027440334
0.31,-16.668037027440334
0.32,-16.668037027440334
0.33,-16.668037027440334
0.34,-16.668037027440334
0.35,-16.261102520604396
0.36,-16.668037027440334
0.37,-16.261102520604396
0.38,-16.668037027440334
0.39,-16.668037027440334
0.4,-16.668037027440334
0.41,-16.668037027440334
0.42,-16.668037027440334
0.43,-16.668037027440334
0.44,-16.668037027440334
0.45,-16.668037027440334
0.46,-16.668037027440334
0.47,-16.668037027440334
0.48,-16.668037027440334
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-16.668037027440334
0.52,-16.668037027440334
0.53,-16.668037027440334
0.54,-16.668037027440334
0.55,-16.668037027440334
0.56,-16.668037027440334
0.57,-16.668037027440334
0.58,-16.668037027440334
0.59,-16.261102520604396
0.6,-16.668037027440334
0.61,-16.668037027440334
0.62,-16.668037027440334
0.63,-16.668037027440334
0.64,-16.668037027440334
0.65,-16.668037027440334
0.66,-16.668037027440334
0.67,-16.668037027440334
0.68,-16.668037027440334
0.69,-16.668037027440334
0.7,-16.261102520604396
0.71,-16.668037027440334
0.72,-16.261102520604396
0.73,-16.668037027440334
0.74,-16.668037027440334
0.75,-16.668037027440334
0.76,-16.668037027440334
0.77,-16.668037027440334
0.78,-16.668037027440334
0.79,-16.668037027440334
0.8,-16.261102520604396
0.81,-16.668037027440334
0.82,-16.668037027440334
0.83,-16.668037027440334
0.84,-16.668037027440334
0.85,-0.7975916489217572
0.86,-10.157084918065333
0.87,-13.81949547958877
0.88,-16.261102520604396
0.89,-16.261102520604396
0.9,-16.668037027440334
0.91,-16.668037027440334
0.92,-14.633364493260647
0.93,-16.668037027440334
0.94,-16.668037027440334
0.95,-16.668037027440334
0.96,-16.668037027440334
0.97,-16.668037027440334
0.98,-16.668037027440334
0.99,-16.668037027440334
1.0,-16.668037027440334
1.01,-16.668037027440334
1.02,-16.668037027440334
1.03,-16.668037027440334
1.04,-16.668037027440334
1.05,-16.668037027440334
1.06,-16.668037027440334
1.07,-16.668037027440334
1.08,-16.668037027440334
1.09,-16.668037027440334
1.1,-16.668037027440334
1.11,-16.668037027440334
1.12,-16.668037027440334
1.13,-16.668037027440334
1.14,-16.261102520604396
1.15,-16.668037027440334
1.16,-16.668037027440334
1.17,-16.668037027440334
1.18,-6.901608863377833
1.19,9.782705916895607
1.2,26.060086190333106
1.21,26.060086190333106
1.22,26.060086190333106
1.23,17.92139605361436
1.24,25.65315168349717
1.25,25.65315168349717
1.26,25.65315168349717
1.27,22.804610135645607
1.28,22.804610135645607
1.29,22.804610135645607
1.3,22.804610135645607
1.31,28.50169323134873
1.32,14.665919998926858
1.33,1.2370808852579307
1.34,1.2370808852579307
1.35,9.37577141005967
1.36,9.37577141005967
1.37,7.74803338271592
1.38,27.68782421767686
1.39,27.68782421767686
1.4,27.68782421767686
1.41,15.479789012598731
1.42,24.839282669825295
1.43,24.839282669825295
1.44,24.839282669825295
1.45,21.990741121973734
1.46,17.51446154677842
1.47,17.51446154677842
1.48,-1.6114606625936323
1.49,-1.6114606625936323
1.5,12.224312957911232
1.51,6.1202949672891815
1.52,25.246217176661233
1.53,8.968836903223732
1.54,8.968836903223732
1.55,14.665919998926858
1.56,24.432348162989356
1.57,24.432348162989356
1.58,24.432348162989356
1.59,19.956068587794046
1.6,19.14219957412217
1.61,19.14219957412217
1.62,19.14219957412217
1.63,24.02541365615342
1.64,14.665919998926858
1.65,14.665919998926858
1.66,14.665919998926858
1.67,14.665919998926858
1.68,14.665919998926858
1.69,14.665919998926858
1.7,14.665919998926858
1.71,14.665919998926858
1.72,14.665919998926858
1.73,14.665919998926858
1.74,14.665919998926858
1.75,14.665919998926858
1.76,14.665919998926858
1.77,14.665919998926858
1.78,14.665919998926858
1.79,14.665919998926858
1.8,14.665919998926858
1.81,14.665919998926858
1.82,14.665919998926858
1.83,14.665919998926858
1.84,14.665919998926858
1.85,14.665919998926858
1.86,14.665919998926858
1.87,14.665919998926858
1.88,14.665919998926858
1.89,14.665919998926858
1.9,14.665919998926858
1.91,14.665919998926858
1.92,14.665919998926858
1.93,14.665919998926858
1.94,14.665919998926858
1.95,14.665919998926858
1.96,14.665919998926858
1.97,14.665919998926858
1.98,14.665919998926858
1.99,14.665919998926858
2.0,14.665919998926858
2.01,14.665919998926858
2.02,14.665919998926858
2.03,-1.6114606625936323
2.04,-7.715477877049708
2.05,-7.715477877049708
2.06,-7.715477877049708
2.07,-1.6114606625936323
2.08,-1.6114606625936323
2.09,6.934164369044044
2.1,6.934164369044044
2.11,22.804610135645607
2.12,22.804610135645607
2.13,22.804610135645607
2.14,22.804610135645607
2.15,22.804610135645607
2.16,22.804610135645607
2.17,22.804610135645607
2.18,22.804610135645607
2.19,22.804610135645607
2.2,22.804610135645607
2.21,22.804610135645607
2.22,22.804610135645607
2.23,22.804610135645607
2.24,22.804610135645607
2.25,22.804610135645607
2.26,22.804610135645607
2.27,22.804610135645607
2.28,22.804610135645607
2.29,22.804610135645607
2.3,22.804610135645607
2.31,22.804610135645607
2.32,22.804610135645607
2.33,22.804610135645607
2.34,22.804610135645607
2.35,22.804610135645607
2.36,22.804610135645607
2.37,22.804610135645607
2.38,22.804610135645607
2.39,22.804610135645607
2.4,22.804610135645607
2.41,22.804610135645607
2.42,22.804610135645607
2.43,22.804610135645607
2.44,22.804610135645607
2.45,22.804610135645607
2.46,22.804610135645607
2.47,22.804610135645607
2.48,22.804610135645607
2.49,9.37577141005967
2.5,9.37577141005967
2.51,9.37577141005967
2.52,9.37577141005967
2.53,9.37577141005967
2.54,8.968836903223732
2.55,8.968836903223732
2.56,8.561902396387794
2.57,8.561902396387794
2.58,8.561902396387794
2.59,8.561902396387794
2.6,8.561902396387794
2.61,8.561902396387794
2.62,8.968836903223732
2.63,8.154967889551855
2.64,8.154967889551855
2.65,8.154967889551855
2.66,8.561902396387794
2.67,8.968836903223732
2.68,8.968836903223732
2.69,8.968836903223732
2.7,8.968836903223732
2.71,8.968836903223732
2.72,8.968836903223732
2.73,8.968836903223732
2.74,8.968836903223732
2.75,8.968836903223732
2.76,-10.564019424901272
2.77,-15.854168013768458
2.78,-16.668037027440334
2.79,-16.668037027440334
2.8,-16.668037027440334
2.81,-16.668037027440334
2.82,-16.668037027440334
2.83,-16.668037027440334
2.84,-16.668037027440334
2.85,-16.668037027440334
2.86,-16.668037027440334
2.87,-16.668037027440334
2.88,-16.668037027440334
2.89,-16.668037027440334
2.9,-16.668037027440334
2.91,-16.668037027440334
2.92,-16.668037027440334
2.93,-16.668037027440334
2.94,-16.668037027440334
2.95,-16.668037027440334
2.96,-16.668037027440334
2.97,-16.668037027440334
2.98,-16.668037027440334
2.99,-16.668037027440334
3.0,-16.668037027440334
3.01,-16.668037027440334
3.02,-16.668037027440334
3.03,-16.668037027440334
3.04,-16.668037027440334
3.05,-16.668037027440334
3.06,-10.157084918065333
3.07,-16.668037027440334
3.08,-16.668037027440334
3.09,-16.668037027440334
3.1,-16.668037027440334
3.11,-15.040299000096581
3.12,-16.668037027440334
3.13,-16.261102520604396
3.14,-15.854168013768458
3.15,-15.854168013768458
3.16,-15.854168013768458
3.17,-15.854168013768458
3.18,-15.854168013768458
3.19,-15.854168013768458
3.2,-15.854168013768458
3.21,-15.854168013768458
3.22,-15.854168013768458
3.23,-15.854168013768458
3.24,-15.854168013768458
3.25,-15.854168013768458
3.26,-15.854168013768458
3.27,-15.854168013768458
3.28,-15.854168013768458
3.29,-15.854168013768458
3.3,-15.854168013768458
3.31,-15.854168013768458
3.32,-15.854168013768458
3.33,-15.854168013768458
3.34,-15.854168013768458
3.35,-15.854168013768458
3.36,-15.854168013768458
3.37,-15.854168013768458
3.38,-15.854168013768458
3.39,-15.854168013768458
3.4,-15.854168013768458
3.41,-15.854168013768458
3.42,-15.854168013768458
3.43,-15.854168013768458
3.44,-15.854168013768458
3.45,0.830146378421993
3.46,0.830146378421993
3.47,0.830146378421993
3.48,0.830146378421993
3.49,0.830146378421993
3.5,0.830146378421993
3.51,0.830146378421993
3.52,0.830146378421993
3.53,0.830146378421993
3.54,0.830146378421993
3.55,0.830146378421993
3.56,0.830146378421993
3.57,0.830146378421993
3.58,1.2370808852579307
3.59,1.2370808852579307
3.6,1.2370808852579307
3.61,1.2370808852579307
3.62,1.2370808852579307
3.63,1.2370808852579307
3.64,1.2370808852579307
3.65,1.2370808852579307
3.66,1.2370808852579307
3.67,1.2370808852579307
3.68,1.2370808852579307
3.69,1.2370808852579307
3.7,1.2370808852579307
3.71,1.2370808852579307
3.72,1.2370808852579307
3.73,1.2370808852579307
3.74,1.2370808852579307
3.75,1.2370808852579307
3.76,1.2370808852579307
3.77,1.2370808852579307
3.78,1.2370808852579307
3.79,1.2370808852579307
3.8,1.2370808852579307
3.81,1.2370808852579307
3.82,1.2370808852579307
3.83,1.2370808852579307
3.84,1.2370808852579307
3.85,1.2370808852579307
3.86,1.2370808852579307
3.87,1.2370808852579307
3.88,1.2370808852579307
3.89,1.2370808852579307
3.9,1.2370808852579307
3.91,1.2370808852579307
3.92,1.2370808852579307
3.93,1.2370808852579307
3.94,1.2370808852579307
3.95,1.2370808852579307
3.96,4.899491446781369
3.97,6.527229862208107
3.98,1.644015392093868
3.99,1.2370808852579307
4.0,1.2370808852579307
4.01,1.2370808852579307
4.02,0.830146378421993
4.03,0.830146378421993
4.04,0.830146378421993
4.05,0.830146378421993
4.06,0.830146378421993
4.07,0.830146378421993
4.08,0.830146378421993
4.09,1.2370808852579307
4.1,0.830146378421993
4.11,0.830146378421993
4.12,0.830146378421993
4.13,1.2370808852579307
4.14,0.830146378421993
4.15,0.830146378421993
4.16,0.830146378421993
4.17,1.2370808852579307
4.18,0.830146378421993
4.19,0.830146378421993
4.2,0.830146378421993
4.21,1.2370808852579307
4.22,0.830146378421993
4.23,0.830146378421993
4.24,0.830146378421993
4.25,0.830146378421993
4.26,0.830146378421993
4.27,1.2370808852579307
4.28,1.2370808852579307
4.29,1.2370808852579307
4.3,0.830146378421993
4.31,0.830146378421993
4.32,0.830146378421993
4.33,1.2370808852579307
4.34,0.830146378421993
4.35,1.2370808852579307
4.36,0.830146378421993
4.37,1.2370808852579307
4.38,0.830146378421993
4.39,0.830146378421993
4.4,1.2370808852579307
4.41,0.830146378421993
4.42,0.830146378421993
4.43,0.830146378421993
4.44,0.830146378421993
4.45,0.830146378421993
4.46,0.830146378421993
4.47,0.830146378421993
4.48,0.830146378421993
4.49,0.830146378421993
4.5,0.830146378421993
4.51,0.830146378421993
