Systolic Pressure, Dyastolic Pressure,Pulse, note
0,0,0,wrrong
time,pressure(mmHg)
0.0,-16.668037027440334
0.01,-16.668037027440334
0.02,-13.81949547958877
0.03,-15.040299000096581
0.04,-16.261102520604396
0.05,-16.668037027440334
0.06,-16.668037027440334
0.07,-14.633364493260647
0.08,-2.425329676265507
0.09,11.410443944239358
0.1,11.410443944239358
0.11,19.956068587794046
0.12,22.804610135645607
0.13,22.804610135645607
0.14,23.618479149317483
0.15,21.176872108301858
0.16,34.60571083388779
0.17,34.60571083388779
0.18,14.665919998926858
0.19,4.085622433109493
0.2,4.085622433109493
0.21,6.527229862208107
0.22,6.527229862208107
0.23,4.085622433109493
0.24,19.956068587794046
0.25,19.956068587794046
0.26,19.956068587794046
0.27,19.956068587794046
0.28,22.39767562880967
0.29,22.39767562880967
0.3,22.39767562880967
0.31,2.864818912601681
0.32,-1.6114606625936323
0.33,-2.01839516942957
0.34,-13.81949547958877
0.35,-13.005626465916896
0.36,-5.27387122411707
0.37,-10.970953931737208
0.38,-9.750150411229397
0.39,-16.261102520604396
0.4,-5.27387122411707
0.41,-4.0530677036092575
0.42,-14.633364493260647
0.43,-14.633364493260647
0.44,-14.633364493260647
0.45,-14.633364493260647
0.46,-14.633364493260647
0.47,-14.633364493260647
0.48,-14.633364493260647
0.49,-14.633364493260647
0.5,-14.633364493260647
0.51,-14.633364493260647
0.52,-14.633364493260647
0.53,-14.633364493260647
0.54,-14.633364493260647
0.55,-14.633364493260647
0.56,-14.633364493260647
0.57,-14.633364493260647
0.58,-14.633364493260647
0.59,-14.633364493260647
0.6,-14.633364493260647
0.61,-14.633364493260647
0.62,-14.633364493260647
0.63,-14.633364493260647
0.64,-14.633364493260647
0.65,-14.633364493260647
0.66,-14.633364493260647
0.67,-14.633364493260647
0.68,-14.633364493260647
0.69,-14.633364493260647
0.7,-14.633364493260647
0.71,-14.633364493260647
0.72,-14.633364493260647
0.73,-14.633364493260647
0.74,-14.633364493260647
0.75,-14.633364493260647
0.76,-14.633364493260647
0.77,-14.633364493260647
0.78,-14.633364493260647
0.79,-14.633364493260647
0.8,-14.633364493260647
0.81,-14.633364493260647
0.82,-14.633364493260647
0.83,-14.633364493260647
0.84,-14.633364493260647
0.85,-14.633364493260647
0.86,-14.633364493260647
0.87,-14.633364493260647
0.88,-14.633364493260647
0.89,-14.633364493260647
0.9,-14.633364493260647
0.91,-14.633364493260647
0.92,-14.633364493260647
0.93,-14.633364493260647
0.94,-14.633364493260647
0.95,-14.633364493260647
0.96,-14.633364493260647
0.97,-14.633364493260647
0.98,-14.633364493260647
0.99,-14.633364493260647
1.0,-14.633364493260647
1.01,-14.633364493260647
1.02,-14.633364493260647
1.03,-14.633364493260647
1.04,-14.633364493260647
1.05,-14.633364493260647
1.06,-14.633364493260647
1.07,-14.633364493260647
1.08,-14.633364493260647
1.09,-14.633364493260647
1.1,-14.633364493260647
1.11,-14.633364493260647
1.12,-14.633364493260647
1.13,-14.633364493260647
1.14,-14.633364493260647
1.15,-14.633364493260647
1.16,-14.633364493260647
1.17,-14.633364493260647
1.18,-14.633364493260647
1.19,-14.633364493260647
1.2,0.830146378421993
1.21,0.830146378421993
1.22,0.830146378421993
1.23,0.830146378421993
1.24,0.830146378421993
1.25,1.2370808852579307
1.26,1.2370808852579307
1.27,0.830146378421993
1.28,0.830146378421993
1.29,0.830146378421993
1.3,1.2370808852579307
1.31,-4.0530677036092575
1.32,-13.005626465916896
1.33,-16.261102520604396
1.34,-13.412560972752834
1.35,-13.412560972752834
1.36,-13.412560972752834
1.37,-13.412560972752834
1.38,-13.412560972752834
1.39,-13.412560972752834
1.4,-13.412560972752834
1.41,-13.412560972752834
1.42,0.830146378421993
1.43,0.830146378421993
1.44,0.830146378421993
1.45,1.2370808852579307
1.46,-4.0530677036092575
1.47,-13.81949547958877
1.48,0.830146378421993
1.49,0.830146378421993
1.5,0.830146378421993
1.51,0.830146378421993
1.52,0.830146378421993
1.53,0.830146378421993
1.54,0.830146378421993
1.55,0.830146378421993
1.56,10.596574930567483
1.57,0.830146378421993
1.58,1.2370808852579307
1.59,1.2370808852579307
1.6,0.830146378421993
1.61,1.2370808852579307
1.62,0.830146378421993
1.63,0.830146378421993
1.64,0.830146378421993
1.65,0.830146378421993
1.66,0.830146378421993
1.67,0.830146378421993
1.68,1.644015392093868
1.69,0.830146378421993
1.7,1.2370808852579307
1.71,1.2370808852579307
1.72,0.830146378421993
1.73,0.830146378421993
1.74,0.830146378421993
1.75,1.2370808852579307
1.76,0.830146378421993
1.77,1.2370808852579307
1.78,0.830146378421993
1.79,1.2370808852579307
1.8,0.830146378421993
1.81,1.2370808852579307
1.82,1.2370808852579307
1.83,0.830146378421993
1.84,1.2370808852579307
1.85,1.2370808852579307
1.86,1.2370808852579307
1.87,0.830146378421993
1.88,0.830146378421993
1.89,1.2370808852579307
1.9,0.830146378421993
1.91,1.2370808852579307
1.92,1.2370808852579307
1.93,1.2370808852579307
1.94,1.2370808852579307
1.95,1.2370808852579307
1.96,0.830146378421993
1.97,0.830146378421993
1.98,0.830146378421993
1.99,1.2370808852579307
2.0,0.830146378421993
2.01,0.830146378421993
2.02,1.2370808852579307
2.03,1.2370808852579307
2.04,0.830146378421993
2.05,0.830146378421993
2.06,0.830146378421993
2.07,1.2370808852579307
2.08,0.830146378421993
2.09,0.830146378421993
2.1,0.830146378421993
2.11,0.830146378421993
2.12,1.2370808852579307
2.13,0.830146378421993
2.14,0.830146378421993
2.15,1.2370808852579307
2.16,2.0509498989298054
2.17,0.830146378421993
2.18,1.2370808852579307
2.19,1.2370808852579307
2.2,1.2370808852579307
2.21,-14.633364493260647
2.22,1.2370808852579307
2.23,0.830146378421993
2.24,1.2370808852579307
2.25,0.830146378421993
2.26,1.2370808852579307
2.27,0.830146378421993
2.28,1.2370808852579307
2.29,0.830146378421993
2.3,1.2370808852579307
2.31,0.830146378421993
2.32,0.830146378421993
2.33,0.830146378421993
2.34,1.2370808852579307
2.35,0.830146378421993
2.36,0.830146378421993
2.37,0.830146378421993
2.38,0.830146378421993
2.39,0.830146378421993
2.4,0.830146378421993
2.41,1.2370808852579307
2.42,0.830146378421993
2.43,1.2370808852579307
2.44,0.830146378421993
2.45,1.2370808852579307
2.46,0.830146378421993
2.47,0.830146378421993
2.48,0.830146378421993
2.49,0.830146378421993
2.5,0.42321187158605555
2.51,1.2370808852579307
2.52,1.2370808852579307
2.53,0.830146378421993
2.54,0.830146378421993
2.55,1.2370808852579307
2.56,0.830146378421993
2.57,1.2370808852579307
2.58,0.830146378421993
2.59,0.830146378421993
2.6,0.830146378421993
2.61,0.830146378421993
2.62,1.2370808852579307
2.63,1.644015392093868
2.64,1.2370808852579307
2.65,0.830146378421993
2.66,1.2370808852579307
2.67,1.2370808852579307
2.68,1.2370808852579307
2.69,0.830146378421993
2.7,1.2370808852579307
2.71,1.2370808852579307
2.72,0.830146378421993
2.73,1.2370808852579307
2.74,0.830146378421993
2.75,0.830146378421993
2.76,1.644015392093868
2.77,0.830146378421993
2.78,0.830146378421993
2.79,1.2370808852579307
2.8,1.2370808852579307
2.81,0.830146378421993
2.82,0.830146378421993
2.83,1.2370808852579307
2.84,0.830146378421993
2.85,0.830146378421993
2.86,0.830146378421993
2.87,0.830146378421993
2.88,0.830146378421993
2.89,1.2370808852579307
2.9,0.830146378421993
2.91,0.830146378421993
2.92,0.830146378421993
2.93,0.830146378421993
2.94,0.830146378421993
2.95,0.830146378421993
2.96,0.830146378421993
2.97,0.830146378421993
2.98,0.830146378421993
2.99,0.830146378421993
3.0,1.2370808852579307
3.01,1.2370808852579307
3.02,0.830146378421993
3.03,1.2370808852579307
3.04,0.830146378421993
3.05,0.830146378421993
3.06,1.2370808852579307
3.07,0.830146378421993
3.08,1.2370808852579307
3.09,1.2370808852579307
3.1,0.830146378421993
3.11,0.830146378421993
3.12,0.830146378421993
3.13,0.830146378421993
3.14,1.2370808852579307
3.15,1.2370808852579307
3.16,0.830146378421993
3.17,0.830146378421993
3.18,0.830146378421993
3.19,0.830146378421993
3.2,0.830146378421993
3.21,0.830146378421993
3.22,0.830146378421993
3.23,1.2370808852579307
3.24,1.644015392093868
3.25,0.830146378421993
3.26,0.830146378421993
3.27,0.830146378421993
3.28,0.830146378421993
3.29,0.830146378421993
3.3,1.2370808852579307
3.31,0.830146378421993
3.32,0.830146378421993
3.33,1.2370808852579307
3.34,0.830146378421993
3.35,0.830146378421993
3.36,1.2370808852579307
3.37,1.644015392093868
3.38,0.830146378421993
3.39,0.830146378421993
3.4,0.830146378421993
3.41,0.830146378421993
3.42,0.830146378421993
3.43,0.830146378421993
3.44,0.830146378421993
3.45,0.830146378421993
3.46,0.830146378421993
3.47,1.2370808852579307
3.48,0.830146378421993
3.49,0.830146378421993
3.5,1.644015392093868
3.51,0.830146378421993
3.52,0.830146378421993
3.53,0.830146378421993
3.54,0.830146378421993
3.55,1.2370808852579307
3.56,1.2370808852579307
3.57,0.830146378421993
3.58,1.2370808852579307
