Systolic_Pressure, Dyastolic_Pressure,Pulse, note
0,0,0,marco
time,pressure(mmHg)
0.0,-16.261102520604396
0.01,-13.005626465916896
0.02,-16.261102520604396
0.03,-16.668037027440334
0.04,-16.668037027440334
0.05,-16.261102520604396
0.06,-16.668037027440334
0.07,-16.668037027440334
0.08,-16.668037027440334
0.09,-10.564019424901272
0.1,-15.44723350693252
0.11,-16.668037027440334
0.12,-16.261102520604396
0.13,-16.668037027440334
0.14,-16.261102520604396
0.15,-16.261102520604396
0.16,-16.261102520604396
0.17,-16.668037027440334
0.18,-16.261102520604396
0.19,-16.261102520604396
0.2,-16.668037027440334
0.21,-16.668037027440334
0.22,-16.668037027440334
0.23,-16.668037027440334
0.24,-16.668037027440334
0.25,-16.668037027440334
0.26,-16.668037027440334
0.27,-16.668037027440334
0.28,-16.668037027440334
0.29,-16.668037027440334
0.3,-16.668037027440334
0.31,-16.668037027440334
0.32,-16.668037027440334
0.33,-16.668037027440334
0.34,-16.668037027440334
0.35,-16.668037027440334
0.36,-16.668037027440334
0.37,-16.668037027440334
0.38,-16.668037027440334
0.39,-16.668037027440334
0.4,-16.668037027440334
0.41,-16.668037027440334
0.42,-16.668037027440334
0.43,-16.668037027440334
0.44,-16.668037027440334
0.45,-16.668037027440334
0.46,-16.668037027440334
0.47,-16.668037027440334
0.48,-16.668037027440334
0.49,-16.668037027440334
0.5,-16.668037027440334
0.51,-16.668037027440334
0.52,-16.668037027440334
0.53,-16.668037027440334
0.54,-16.668037027440334
0.55,-16.668037027440334
0.56,-16.668037027440334
0.57,-16.668037027440334
0.58,-16.668037027440334
0.59,-16.668037027440334
0.6,-16.668037027440334
0.61,-16.668037027440334
0.62,-16.668037027440334
0.63,-16.668037027440334
0.64,-16.668037027440334
0.65,-16.668037027440334
0.66,-16.668037027440334
0.67,-16.668037027440334
0.68,-16.668037027440334
0.69,-16.668037027440334
0.7,-16.668037027440334
0.71,-16.668037027440334
0.72,-16.668037027440334
0.73,-16.668037027440334
0.74,-16.668037027440334
0.75,-16.668037027440334
0.76,-16.668037027440334
0.77,-16.668037027440334
0.78,-16.668037027440334
0.79,-16.668037027440334
0.8,-16.668037027440334
0.81,-16.668037027440334
0.82,-16.668037027440334
0.83,-16.668037027440334
0.84,-16.261102520604396
0.85,-16.261102520604396
0.86,-16.261102520604396
0.87,-16.668037027440334
0.88,-16.668037027440334
0.89,-16.668037027440334
0.9,-16.668037027440334
0.91,-16.668037027440334
0.92,-16.261102520604396
0.93,-16.668037027440334
0.94,-15.854168013768458
0.95,-15.854168013768458
0.96,0.0162773799096097
0.97,-10.970953931737208
